Time (ns);Current (nA);Voltage (mV);Energy (uJ);DSR
"0";"2203900";"3292";"41.2";"0x82E0000080000E30"
"1198000";"2203900";"3292";"50.3";""
"2331000";"2203900";"3292";"59.4";""
"3465000";"2203900";"3293";"68.5";""
"4598000";"2203900";"3293";"77.6";""
"5670000";"2203900";"3294";"82.9";""
"6868000";"2239000";"3293";"92.0";""
"8000000";"2239000";"3294";"101.1";""
"9133000";"2239000";"3294";"110.2";""
"10271000";"2239000";"3294";"119.2";""
"11345000";"2239000";"3295";"124.5";""
"12542000";"2239000";"3295";"133.6";""
"13675000";"2242300";"3295";"142.3";""
"14813000";"2242300";"3295";"151.4";""
"15946000";"2242300";"3295";"160.5";""
"17018000";"2242300";"3295";"165.8";""
"18216000";"2242300";"3295";"174.9";""
"19353000";"2242300";"3295";"184.0";""
"20486000";"2257600";"3295";"193.1";""
"21619000";"2257600";"3295";"201.8";""
"22693000";"2257600";"3296";"207.5";""
"23891000";"2257600";"3296";"216.5";""
"25023000";"2257600";"3296";"225.6";""
"26155000";"2257600";"3296";"234.7";""
"27287000";"2244300";"3296";"243.4";""
"28361000";"2244300";"3296";"248.7";""
"29563000";"2244300";"3296";"258.2";""
"30696000";"2244300";"3296";"267.3";""
"31828000";"2244300";"3296";"276.0";""
"32961000";"2244300";"3296";"285.1";""
"34035000";"2244300";"3296";"290.4";""
"35232000";"2136900";"3296";"299.5";""
"36365000";"2136900";"3296";"308.6";""
"37497000";"2136900";"3296";"317.7";""
"38630000";"2136900";"3296";"326.4";""
"39708000";"2136900";"3296";"332.0";""
"40906000";"2136900";"3296";"341.1";""
"42039000";"2259100";"3296";"350.2";""
"43170000";"2259100";"3296";"359.3";""
"44303000";"2259100";"3297";"368.0";""
"45376000";"2259100";"3297";"373.7";""
"46573000";"2259100";"3297";"382.8";""
"47705000";"2259100";"3297";"391.9";""
"48838000";"2244900";"3297";"400.6";""
"49976000";"2244900";"3297";"409.7";""
"51042000";"2244900";"3297";"415.0";""
"52248000";"2244900";"3296";"424.1";""
"53381000";"2244900";"3297";"433.1";""
"54514000";"2244900";"3297";"442.2";""
"55646000";"2241500";"3297";"450.9";""
"56726000";"2241500";"3297";"456.2";""
"57924000";"2241500";"3297";"465.3";""
"59056000";"2241500";"3297";"474.4";""
"60195000";"2241500";"3297";"483.5";""
"61328000";"2241500";"3297";"492.6";""
"62400000";"2241500";"3297";"497.9";""
"63599000";"2134900";"3297";"507.0";""
"64731000";"2134900";"3297";"516.1";""
"65864000";"2134900";"3297";"525.2";""
"66996000";"2134900";"3297";"534.3";""
"68070000";"2134900";"3297";"539.5";""
"69268000";"2134900";"3297";"548.6";""
"70406000";"2259100";"3297";"557.7";""
"71539000";"2259100";"3297";"566.4";""
"72672000";"2259100";"3297";"575.5";""
"73746000";"2259100";"3297";"580.8";""
"74944000";"2259100";"3297";"589.9";""
"76077000";"2259100";"3297";"599.0";""
"77209000";"2243400";"3297";"608.1";""
"78341000";"2243400";"3297";"616.8";""
"79420000";"2243400";"3296";"622.1";""
"80618000";"2243400";"3297";"631.6";""
"81750000";"2243400";"3296";"640.3";""
"82882000";"2243400";"3296";"649.4";""
"84015000";"2242600";"3296";"658.5";""
"85088000";"2242600";"3296";"663.7";""
"86286000";"2242600";"3296";"673.2";""
"87419000";"2242600";"3297";"682.3";""
"88552000";"2242600";"3296";"691.0";""
"89691000";"2242600";"3296";"700.1";""
"90765000";"2242600";"3296";"705.4";""
"91963000";"2136100";"3296";"714.5";""
"93096000";"2136100";"3296";"723.6";""
"94229000";"2136100";"3296";"732.7";""
"95360000";"2136100";"3296";"741.8";""
"96434000";"2136100";"3296";"747.0";""
"97632000";"2136100";"3296";"756.1";""
"98768000";"2242800";"3296";"764.8";""
"99906000";"2242800";"3296";"773.9";""
"101040000";"2242800";"3296";"783.0";""
"102105000";"2242800";"3296";"788.3";""
"103310000";"2242800";"3296";"797.4";""
"104443000";"2242800";"3296";"806.5";""
"105575000";"2259100";"3296";"815.6";""
"106708000";"2259100";"3296";"824.7";""
"107782000";"2259100";"3296";"830.0";""
"108980000";"2259100";"3296";"839.1";""
"110118000";"2259100";"3296";"848.2";""
"111250000";"2259100";"3296";"857.2";""
"112382000";"2242100";"3296";"866.0";""
"113456000";"2242100";"3296";"871.2";""
"114654000";"2242100";"3296";"880.7";""
"115787000";"2242100";"3296";"889.4";""
"116921000";"2242100";"3296";"898.5";""
"118052000";"2242100";"3296";"907.6";""
"119117000";"2242100";"3296";"912.9";""
"120329000";"2136600";"3296";"922.0";""
"121460000";"2136600";"3296";"931.1";""
"122592000";"2136600";"3296";"940.2";""
"123725000";"2136600";"3296";"949.3";""
"124798000";"2136600";"3296";"954.5";""
"125995000";"2136600";"3296";"963.6";""
"127128000";"2261700";"3296";"972.7";""
"128261000";"2261700";"3296";"981.8";""
"129399000";"2261700";"3296";"990.9";""
"130472000";"2261700";"3296";"996.2";""
"131671000";"2261700";"3297";"1005.3";""
"132804000";"2261700";"3297";"1014.0";""
"133936000";"2241900";"3297";"1023.1";""
"135069000";"2241900";"3297";"1032.2";""
"136141000";"2241900";"3297";"1037.5";""
"137339000";"2241900";"3297";"1046.6";""
"138471000";"2241900";"3297";"1055.7";""
"139608000";"2241900";"3297";"1064.4";""
"140746000";"2241100";"3297";"1073.5";""
"141819000";"2241100";"3297";"1079.1";""
"143017000";"2241100";"3297";"1088.2";""
"144150000";"2241100";"3297";"1097.3";""
"145283000";"2241100";"3297";"1106.4";""
"146416000";"2241100";"3297";"1115.1";""
"147488000";"2241100";"3297";"1120.8";""
"148685000";"2153100";"3297";"1129.9";""
"149824000";"2153100";"3298";"1139.0";""
"150957000";"2153100";"3297";"1147.7";""
"152089000";"2153100";"3297";"1156.8";""
