Time (ns);Current (nA);Voltage (mV);Energy (uJ);DSR
"134623000";"1575000";"3297";"720.8";""
"135522000";"1575000";"3297";"725.3";""
"136356000";"1575000";"3297";"729.9";""
"137190000";"1575000";"3297";"734.4";""
"138029000";"1585800";"3297";"739.3";""
"139118000";"1585800";"3297";"744.2";""
"140018000";"1585800";"3297";"748.7";""
"140851000";"1585800";"3297";"753.3";""
"141686000";"1585800";"3297";"757.8";""
"142519000";"1585800";"3297";"762.3";""
"143603000";"1585800";"3297";"767.2";""
"144503000";"1585800";"3297";"771.8";""
"145337000";"1585800";"3297";"776.3";""
"146171000";"1585800";"3297";"780.8";""
"147006000";"1585800";"3296";"785.4";""
"148089000";"1535100";"3296";"790.3";""
"148995000";"1535100";"3296";"795.2";""
"149828000";"1535100";"3296";"799.7";""
"150662000";"1535100";"3296";"804.3";""
"151496000";"1535100";"3296";"808.8";""
"152571000";"1535100";"3296";"813.7";""
"153478000";"1535100";"3297";"818.2";""
"154311000";"1535100";"3297";"823.1";""
"155145000";"1535100";"3297";"827.7";""
"155980000";"1535100";"3297";"832.2";""
"157063000";"1535100";"3297";"837.1";""
"157963000";"1576200";"3297";"841.6";""
"158802000";"1576200";"3297";"846.2";""
"159636000";"1576200";"3297";"851.1";""
"160471000";"1576200";"3297";"855.6";""
"161554000";"1576200";"3297";"860.5";""
"162453000";"1576200";"3297";"865.0";""
"163287000";"1576200";"3297";"869.6";""
"164120000";"1576200";"3297";"874.1";""
"164954000";"1576200";"3297";"878.6";""
"166038000";"1576200";"3297";"883.5";""
"166937000";"1576200";"3297";"888.1";""
"167771000";"1574900";"3297";"892.6";""
"168606000";"1574900";"3297";"897.1";""
"169446000";"1574900";"3297";"901.7";""
"170529000";"1574900";"3297";"906.6";""
"171428000";"1574900";"3297";"911.5";""
"172262000";"1574900";"3297";"916.0";""
"173096000";"1574900";"3297";"920.6";""
"173930000";"1574900";"3297";"925.1";""
"175014000";"1574900";"3296";"930.0";""
"175913000";"1574900";"3297";"934.9";""
"176747000";"1574900";"3297";"939.4";""
"177581000";"1586600";"3296";"944.0";""
"178415000";"1586600";"3296";"948.5";""
"179505000";"1586600";"3296";"953.4";""
"180409000";"1586600";"3296";"958.3";""
"181243000";"1586600";"3296";"962.8";""
"182077000";"1586600";"3296";"967.4";""
"182910000";"1586600";"3296";"971.9";""
"183993000";"1586600";"3296";"976.8";""
"184893000";"1586600";"3296";"981.3";""
"185727000";"1586600";"3296";"985.9";""
"186561000";"1586600";"3296";"990.4";""
"187395000";"1574000";"3296";"994.9";""
"188478000";"1574000";"3296";"999.9";""
"189384000";"1574000";"3296";"1004.4";""
"190217000";"1574000";"3297";"1009.3";""
"191051000";"1574000";"3297";"1013.8";""
"191885000";"1574000";"3297";"1018.4";""
"192969000";"1574000";"3297";"1023.3";""
"193867000";"1574000";"3297";"1027.8";""
"194702000";"1574000";"3297";"1032.3";""
"195536000";"1574000";"3297";"1037.2";""
"196371000";"1574000";"3297";"1041.8";""
"197454000";"1558300";"3297";"1046.7";""
"198353000";"1558300";"3297";"1051.2";""
"199192000";"1558300";"3297";"1055.7";""
"200026000";"1558300";"3296";"1060.3";""
"200860000";"1558300";"3296";"1064.8";""
"201943000";"1558300";"3297";"1069.7";""
"202843000";"1558300";"3297";"1074.6";""
"203677000";"1558300";"3297";"1079.2";""
"204512000";"1558300";"3297";"1083.7";""
"205344000";"1558300";"3296";"1088.2";""
"206428000";"1558300";"3296";"1093.1";""
"207327000";"1564500";"3296";"1097.7";""
"208160000";"1564500";"3296";"1102.2";""
"209000000";"1564500";"3296";"1106.7";""
"209835000";"1564500";"3296";"1111.3";""
"210918000";"1564500";"3296";"1116.2";""
"211817000";"1564500";"3296";"1121.1";""
"212651000";"1564500";"3296";"1125.6";""
"213485000";"1564500";"3296";"1130.1";""
"214320000";"1564500";"3296";"1134.7";""
"215403000";"1564500";"3296";"1139.9";""
"216302000";"1564500";"3296";"1144.5";""
"217135000";"1586800";"3296";"1149.0";""
"217969000";"1586800";"3296";"1153.5";""
"218809000";"1586800";"3296";"1158.1";""
"219892000";"1586800";"3296";"1163.0";""
"220792000";"1586800";"3296";"1167.9";""
"221631000";"1586800";"3296";"1172.4";""
"222464000";"1586800";"3296";"1177.0";""
"223298000";"1586800";"3296";"1181.5";""
"224381000";"1586800";"3296";"1186.4";""
"225280000";"1586800";"3296";"1190.9";""
"226114000";"1586800";"3296";"1195.5";""
"226949000";"1574100";"3296";"1200.0";""
"227784000";"1574100";"3296";"1204.5";""
"228872000";"1574100";"3296";"1209.4";""
"229772000";"1574100";"3296";"1214.3";""
"230606000";"1574100";"3296";"1218.9";""
"231439000";"1574100";"3296";"1223.4";""
"232274000";"1574100";"3296";"1227.9";""
"233357000";"1574100";"3296";"1232.8";""
"234257000";"1574100";"3296";"1237.7";""
"235092000";"1574100";"3296";"1242.3";""
"235926000";"1574100";"3296";"1246.8";""
"236760000";"1586400";"3296";"1251.3";""
"237844000";"1586400";"3295";"1256.3";""
"238749000";"1586400";"3296";"1261.2";""
"239584000";"1586400";"3296";"1265.7";""
"240418000";"1586400";"3295";"1270.2";""
"241252000";"1586400";"3295";"1274.8";""
"242335000";"1586400";"3295";"1279.7";""
"243234000";"1586400";"3296";"1284.2";""
