Time (ns);Current (nA);Voltage (mV);Energy (uJ);DSR
"167978000";"2209900";"3296";"1253.2";""
"169109000";"2224900";"3296";"1262.3";""
"170183000";"2224900";"3297";"1267.6";""
"171381000";"2224900";"3297";"1276.7";""
"172514000";"2224900";"3297";"1285.4";""
"173652000";"2224900";"3297";"1294.5";""
"174783000";"2224900";"3297";"1303.2";""
"175857000";"2224900";"3296";"1308.5";""
"177054000";"2107900";"3296";"1317.6";""
"178187000";"2107900";"3296";"1326.6";""
"179324000";"2107900";"3296";"1335.4";""
"180458000";"2107900";"3296";"1344.5";""
"181530000";"2107900";"3296";"1349.4";""
"182728000";"2107900";"3296";"1358.4";""
"183866000";"2223700";"3297";"1367.5";""
"184998000";"2223700";"3297";"1376.2";""
"186131000";"2223700";"3297";"1385.3";""
"187204000";"2223700";"3297";"1390.2";""
"188403000";"2223700";"3297";"1399.3";""
"189535000";"2223700";"3297";"1408.4";""
"190668000";"2209900";"3297";"1417.1";""
"191800000";"2209900";"3297";"1426.2";""
"192872000";"2209900";"3297";"1431.5";""
"194076000";"2209900";"3297";"1440.2";""
"195210000";"2209900";"3297";"1449.3";""
"196342000";"2209900";"3297";"1458.4";""
"197475000";"2224900";"3297";"1467.1";""
"198547000";"2224900";"3297";"1472.4";""
"199745000";"2224900";"3297";"1481.5";""
"200877000";"2224900";"3297";"1490.2";""
"202010000";"2224900";"3297";"1499.3";""
"203142000";"2224900";"3297";"1508.0";""
"204220000";"2224900";"3297";"1513.3";""
"205418000";"2108600";"3297";"1522.4";""
"206551000";"2108600";"3297";"1531.1";""
"207683000";"2108600";"3297";"1539.8";""
"208816000";"2108600";"3297";"1548.9";""
"209889000";"2108600";"3297";"1554.2";""
"211088000";"2108600";"3297";"1563.3";""
"212220000";"2209700";"3297";"1572.0";""
"213358000";"2209700";"3297";"1581.1";""
"214491000";"2209700";"3297";"1589.8";""
"215565000";"2209700";"3297";"1595.1";""
"216763000";"2209700";"3297";"1604.2";""
"217895000";"2209700";"3297";"1613.3";""
"219028000";"2224900";"3297";"1622.0";""
"220161000";"2224900";"3297";"1631.1";""
"221239000";"2224900";"3297";"1636.0";""
"222438000";"2224900";"3297";"1645.1";""
