Time (ns);Current (nA);Voltage (mV);Energy (uJ)
"45852000";"487100";"3296";"75.6"
"46065000";"487100";"3296";"76.0"
"46474000";"487100";"3296";"76.7"
"46752000";"487100";"3296";"77.1"
"46964000";"487100";"3296";"77.4"
"47177000";"487100";"3296";"77.8"
"47389000";"487100";"3296";"78.2"
"47799000";"487100";"3296";"78.9"
"48076000";"487100";"3296";"79.3"
"48289000";"487100";"3296";"79.6"
"48501000";"487100";"3296";"80.0"
"48713000";"487100";"3296";"80.4"
"49123000";"487100";"3296";"80.7"
"49401000";"487100";"3296";"81.5"
"49614000";"487100";"3296";"81.8"
"49826000";"487100";"3296";"82.2"
"50039000";"487100";"3296";"82.2"
"50514000";"487100";"3296";"83.3"
"50727000";"487100";"3296";"83.3"
"50940000";"487100";"3296";"83.7"
"51152000";"487100";"3296";"84.0"
"51369000";"487100";"3296";"84.4"
"51779000";"487100";"3296";"85.1"
"52057000";"487100";"3296";"85.5"
"52269000";"487100";"3296";"85.9"
"52483000";"487100";"3296";"86.2"
"52695000";"487100";"3296";"86.6"
"53171000";"487100";"3296";"87.3"
"53383000";"487100";"3296";"87.7"
"53596000";"487100";"3296";"88.1"
"53808000";"487100";"3297";"88.4"
"54021000";"487100";"3297";"88.8"
"54431000";"487100";"3297";"89.2"
"54708000";"487100";"3297";"89.9"
"54921000";"487100";"3297";"90.3"
"55133000";"487100";"3297";"90.7"
"55346000";"487100";"3297";"91.0"
"55827000";"487100";"3297";"91.8"
"56041000";"487100";"3297";"92.1"
"56252000";"487100";"3297";"92.5"
"56465000";"487100";"3297";"92.5"
"56678000";"487100";"3297";"92.8"
"57088000";"487100";"3297";"93.6"
"57365000";"487100";"3297";"93.9"
"57578000";"487100";"3297";"94.3"
"57790000";"487100";"3297";"94.7"
"58003000";"487100";"3297";"95.1"
"58412000";"487100";"3297";"95.8"
"58691000";"487100";"3297";"96.2"
"58903000";"487100";"3297";"96.5"
"59116000";"487100";"3297";"96.9"
"59328000";"487100";"3297";"97.3"
"59802000";"487100";"3297";"98.0"
"60015000";"487100";"3297";"98.4"
"60228000";"485400";"3297";"98.7"
"60441000";"485400";"3297";"99.1"
"60652000";"485400";"3297";"99.5"
"61062000";"485400";"3297";"100.2"
"61339000";"485400";"3297";"100.6"
"61552000";"485400";"3297";"100.9"
"61763000";"485400";"3297";"101.3"
"61977000";"485400";"3297";"101.7"
"62386000";"485400";"3297";"102.0"
"62664000";"485400";"3297";"102.8"
"62877000";"485400";"3297";"102.8"
"63090000";"485400";"3297";"103.1"
"63303000";"485400";"3297";"103.5"
"63713000";"485400";"3296";"104.2"
"63991000";"485400";"3296";"104.6"
"64203000";"485400";"3296";"105.0"
"64416000";"485400";"3296";"105.3"
"64628000";"485400";"3296";"105.7"
"65039000";"485400";"3296";"106.4"
"65316000";"485400";"3296";"106.8"
"65529000";"485400";"3296";"107.2"
"65748000";"485400";"3296";"107.5"
"65960000";"485400";"3296";"107.9"
"66370000";"485400";"3296";"108.6"
"66647000";"485400";"3296";"109.0"
"66860000";"485400";"3296";"109.4"
"67074000";"485400";"3296";"109.7"
"67285000";"485400";"3296";"110.1"
"67694000";"485400";"3296";"110.8"
"67971000";"485400";"3296";"111.2"
"68184000";"485400";"3296";"111.6"
"68396000";"485400";"3296";"111.9"
"68609000";"485400";"3296";"111.9"
"69018000";"485400";"3296";"112.7"
"69298000";"485400";"3296";"113.4"
"69511000";"485400";"3296";"113.8"
"69723000";"485400";"3296";"113.8"
"69936000";"485400";"3296";"114.1"
"70347000";"485400";"3296";"114.9"
"70625000";"485400";"3296";"115.2"
"70837000";"485400";"3296";"115.6"
"71050000";"485400";"3296";"116.0"
"71262000";"485400";"3296";"116.3"
"71672000";"485400";"3296";"117.1"
"71950000";"485400";"3296";"117.5"
"72163000";"485400";"3296";"117.8"
"72375000";"485400";"3296";"118.2"
"72586000";"485400";"3296";"118.6"
"72996000";"485400";"3296";"119.3"
"73274000";"485400";"3296";"119.7"
"73487000";"485400";"3296";"120.0"
"73699000";"485400";"3296";"120.4"
"73913000";"485400";"3296";"120.8"
"74322000";"485400";"3296";"121.1"
"74600000";"485400";"3296";"121.9"
"74813000";"485400";"3296";"122.2"
"75026000";"485400";"3296";"122.6"
"75239000";"485400";"3296";"123.0"
"75655000";"485400";"3296";"123.3"
"75932000";"485400";"3296";"124.1"
"76145000";"485400";"3296";"124.1"
"76357000";"485400";"3296";"124.4"
"76570000";"485400";"3296";"124.8"
"76981000";"485400";"3296";"125.5"
"77259000";"485400";"3296";"125.9"
"77472000";"485400";"3296";"126.3"
"77685000";"485400";"3296";"126.6"
"77898000";"485400";"3296";"127.0"
"78301000";"485400";"3296";"127.7"
"78586000";"485400";"3296";"128.1"
"78800000";"485400";"3296";"128.5"
"79013000";"485400";"3296";"128.8"
"79226000";"485400";"3296";"129.2"
"79636000";"485400";"3296";"129.9"
"79914000";"485400";"3296";"130.3"
"80126000";"485400";"3296";"130.7"
"80337000";"485400";"3296";"131.0"
"80551000";"485400";"3297";"131.4"
"80961000";"485400";"3297";"132.1"
"81238000";"485400";"3296";"132.5"
"81450000";"485400";"3296";"132.9"
"81662000";"485400";"3297";"133.2"
"81875000";"485400";"3296";"133.6"
"82286000";"485400";"3296";"134.0"
"82563000";"485400";"3296";"134.3"
"82776000";"485400";"3296";"134.7"
"82988000";"485400";"3296";"135.1"
"83201000";"485400";"3296";"135.4"
"83610000";"485400";"3296";"136.2"
"83888000";"485400";"3296";"136.5"
"84101000";"485400";"3296";"136.9"
"84313000";"485400";"3296";"137.3"
"84526000";"485400";"3296";"137.6"
"84936000";"485400";"3296";"138.4"
"85214000";"485400";"3296";"138.7"
"85427000";"485400";"3296";"139.1"
"85644000";"485400";"3296";"139.5"
"85856000";"485400";"3296";"139.9"
"86266000";"485400";"3296";"140.6"
"86543000";"485400";"3296";"141.0"
"86755000";"485400";"3296";"141.3"
"86968000";"485400";"3296";"141.7"
"87181000";"485400";"3296";"142.1"
"87591000";"485400";"3296";"142.4"
"87869000";"485400";"3296";"143.2"
"88081000";"485400";"3296";"143.5"
"88293000";"485400";"3296";"143.5"
"88505000";"485400";"3296";"143.9"
"88915000";"485400";"3296";"144.6"
"89194000";"485400";"3296";"145.0"
"89407000";"485400";"3296";"145.4"
"89619000";"485400";"3296";"145.7"
"89833000";"485400";"3296";"146.1"
"90243000";"485400";"3296";"146.8"
"90521000";"485400";"3296";"147.2"
"90734000";"485400";"3296";"147.6"
"90947000";"485400";"3296";"147.9"
"91159000";"485400";"3296";"148.3"
"91569000";"485400";"3296";"149.0"
"91848000";"485400";"3296";"149.4"
"92060000";"485400";"3296";"149.8"
"92273000";"485400";"3296";"150.1"
"92485000";"485400";"3296";"150.5"
"92896000";"485400";"3296";"151.2"
"93235000";"485400";"3296";"151.6"
"93447000";"485400";"3296";"152.0"
"93660000";"485400";"3296";"152.3"
"93872000";"485400";"3296";"152.7"
"94282000";"485400";"3296";"153.4"
"94559000";"485400";"3296";"153.8"
"94771000";"485400";"3296";"154.2"
"94984000";"485400";"3296";"154.5"
"95196000";"485400";"3296";"154.9"
"95605000";"485400";"3296";"155.3"
"95888000";"485400";"3296";"156.0"
"96101000";"485400";"3296";"156.4"
"96313000";"485400";"3296";"156.4"
"96526000";"485400";"3296";"156.7"
"96936000";"485400";"3296";"157.5"
"97214000";"485400";"3296";"157.8"
"97427000";"485400";"3296";"158.2"
"97639000";"485400";"3296";"158.6"
"97851000";"485400";"3296";"158.9"
"98261000";"485400";"3296";"159.7"
"98538000";"485400";"3296";"160.0"
"98752000";"485400";"3296";"160.4"
"98964000";"485400";"3296";"160.8"
"99176000";"485400";"3296";"161.1"
"99585000";"485400";"3296";"161.9"
"99864000";"485400";"3296";"162.3"
"100076000";"485400";"3296";"162.6"
"100289000";"485400";"3296";"163.0"
"100501000";"485400";"3296";"163.4"
"100911000";"485400";"3296";"164.1"
"101188000";"485400";"3296";"164.5"
"101401000";"485400";"3296";"164.8"
"101613000";"485400";"3296";"165.2"
"101825000";"485400";"3296";"165.6"
"102236000";"485400";"3296";"165.9"
"102514000";"485400";"3296";"166.7"
"102727000";"485400";"3296";"167.0"
"102940000";"485400";"3296";"167.0"
"103153000";"485400";"3297";"167.4"
"103563000";"485400";"3297";"168.1"
"103841000";"485400";"3297";"168.5"
"104054000";"485400";"3297";"168.9"
"104266000";"485400";"3297";"169.2"
"104479000";"485400";"3297";"169.6"
"104889000";"485400";"3297";"170.3"
"105167000";"485400";"3297";"170.7"
"105380000";"485400";"3297";"171.1"
"105593000";"485400";"3297";"171.4"
"105811000";"485400";"3297";"171.8"
"106221000";"485400";"3297";"172.5"
"106499000";"485400";"3297";"172.9"
"106711000";"485400";"3297";"173.3"
"106923000";"485400";"3297";"173.6"
"107134000";"485400";"3297";"174.0"
"107545000";"485400";"3297";"174.7"
"107822000";"485400";"3297";"175.1"
"108034000";"485400";"3297";"175.5"
"108247000";"485400";"3297";"175.8"
"108460000";"485400";"3297";"176.2"
"108869000";"485400";"3297";"176.6"
"109148000";"485400";"3297";"177.3"
"109360000";"485400";"3297";"177.3"
"109573000";"485400";"3297";"177.7"
"109785000";"485400";"3297";"178.0"
"110195000";"485400";"3297";"178.8"
"110473000";"485400";"3297";"179.1"
"110686000";"485400";"3297";"179.5"
"110899000";"485400";"3297";"179.9"
"111112000";"485400";"3297";"180.2"
"111522000";"485400";"3297";"181.0"
"111799000";"485400";"3297";"181.3"
"112012000";"485400";"3297";"181.7"
"112225000";"485400";"3297";"182.1"
"112438000";"485400";"3297";"182.4"
"112848000";"485400";"3297";"183.2"
"113125000";"485400";"3297";"183.5"
"113337000";"485400";"3297";"183.9"
"113550000";"485400";"3297";"184.3"
"113763000";"485400";"3297";"184.7"
"114173000";"485400";"3297";"185.0"
"114451000";"485400";"3297";"185.8"
"114664000";"485400";"3297";"186.1"
"114876000";"485400";"3297";"186.5"
"115089000";"485400";"3297";"186.5"
"115498000";"485400";"3297";"187.2"
"115782000";"485400";"3297";"188.0"
"115994000";"485400";"3297";"188.0"
"116207000";"485400";"3297";"188.3"
"116420000";"485400";"3297";"188.7"
"116831000";"485400";"3297";"189.4"
"117109000";"485400";"3297";"189.8"
"117321000";"485400";"3297";"190.2"
"117534000";"485400";"3297";"190.5"
"117746000";"485400";"3297";"190.9"
"118157000";"485400";"3297";"191.6"
"118434000";"485400";"3297";"192.0"
"118647000";"485400";"3297";"192.4"
"118859000";"485400";"3297";"192.7"
"119073000";"485400";"3297";"193.1"
"119482000";"485400";"3297";"193.8"
"119760000";"485400";"3297";"194.2"
"119973000";"485400";"3297";"194.6"
"120185000";"485400";"3297";"194.9"
"120397000";"485400";"3297";"195.3"
"120806000";"485400";"3297";"196.0"
"121083000";"485400";"3297";"196.4"
"121296000";"485400";"3297";"196.8"
"121509000";"487900";"3297";"197.1"
"121721000";"487900";"3297";"197.5"
"122197000";"487900";"3297";"197.9"
"122409000";"487900";"3297";"198.2"
"122621000";"487900";"3297";"198.6"
"122834000";"487900";"3297";"199.0"
"123047000";"487900";"3297";"199.3"
"123457000";"487900";"3297";"200.1"
"123735000";"487900";"3297";"200.4"
"123948000";"487900";"3297";"200.8"
"124161000";"487900";"3297";"201.2"
"124374000";"487900";"3297";"201.5"
"124784000";"487900";"3297";"202.3"
"125062000";"487900";"3297";"202.6"
"125275000";"487900";"3297";"203.0"
"125488000";"487900";"3297";"203.4"
"125706000";"487900";"3297";"203.7"
"126181000";"487900";"3297";"204.5"
"126394000";"487900";"3297";"204.8"
"126606000";"487900";"3297";"205.2"
"126819000";"487900";"3297";"205.6"
"127032000";"487900";"3297";"205.9"
"127425000";"487900";"3296";"206.3"
"127712000";"487900";"3296";"207.1"
"127924000";"487900";"3297";"207.1"
"128137000";"487900";"3297";"207.4"
"128350000";"487900";"3297";"207.8"
"128760000";"487900";"3297";"208.5"
"129038000";"487900";"3297";"208.9"
"129251000";"487900";"3297";"209.2"
"129462000";"487900";"3297";"209.6"
"129676000";"487900";"3297";"210.0"
"130085000";"487900";"3297";"210.7"
"130364000";"487900";"3297";"211.1"
"130576000";"487900";"3297";"211.5"
"130789000";"487900";"3297";"211.8"
