Time (ns);Current (nA);Voltage (mV);Energy (uJ)
"45800000";"481700";"3297";"67.9"
"46012000";"481700";"3296";"68.3"
"46423000";"481700";"3296";"69.0"
"46700000";"481700";"3296";"69.8"
"46912000";"481700";"3296";"70.2"
"47124000";"481700";"3296";"70.5"
"47336000";"481700";"3296";"70.9"
"47746000";"481700";"3296";"71.6"
"48065000";"481700";"3296";"72.4"
"48277000";"481700";"3296";"72.8"
"48490000";"481700";"3296";"73.5"
"48702000";"481700";"3296";"73.9"
"49112000";"481700";"3296";"74.6"
"49390000";"481700";"3296";"75.4"
"49603000";"481700";"3296";"75.8"
"49815000";"481700";"3296";"76.1"
"50027000";"481700";"3296";"76.5"
"50437000";"481700";"3296";"77.2"
"50716000";"481700";"3296";"78.0"
"50928000";"481700";"3296";"78.4"
"51141000";"481700";"3296";"78.7"
"51354000";"481700";"3296";"79.1"
"51765000";"481700";"3296";"80.2"
"52042000";"481700";"3296";"80.6"
"52254000";"481700";"3296";"81.0"
"52467000";"481700";"3296";"81.7"
"52681000";"481700";"3297";"82.1"
"53091000";"481700";"3296";"82.8"
"53369000";"481700";"3297";"83.6"
"53581000";"481700";"3297";"84.0"
"53794000";"481700";"3297";"84.3"
"54006000";"481700";"3297";"84.7"
"54416000";"481700";"3297";"85.5"
"54694000";"481700";"3296";"86.2"
"54907000";"481700";"3296";"86.6"
"55120000";"481700";"3296";"86.9"
"55332000";"481700";"3297";"87.3"
"55748000";"481700";"3296";"88.4"
"56026000";"481700";"3296";"88.8"
"56240000";"481700";"3296";"89.2"
"56452000";"481700";"3296";"89.9"
"56665000";"481700";"3296";"90.3"
"57075000";"481700";"3296";"91.1"
"57352000";"481700";"3296";"91.4"
"57565000";"481700";"3297";"92.2"
"57778000";"481700";"3297";"92.5"
"57991000";"481700";"3297";"92.9"
"58401000";"481700";"3297";"93.7"
"58679000";"481700";"3297";"94.4"
"58892000";"481700";"3296";"94.8"
"59104000";"481700";"3296";"95.2"
"59317000";"481700";"3296";"95.5"
"59727000";"481700";"3296";"96.3"
"60005000";"481700";"3296";"97.0"
"60217000";"481700";"3296";"97.4"
