Time (ns);Current (nA);Voltage (mV);Energy (uJ);DSR
"165132000";"3695900";"3299";"1921.0";""
"166330000";"3695900";"3299";"1932.0";""
"167580000";"3695900";"3299";"1951.0";""
"168713000";"3695900";"3298";"1961.7";""
"169846000";"3325200";"3298";"1972.7";""
"171347000";"3325200";"3298";"1992.5";"0x805000000C040A00"
"172545000";"3325200";"3298";"2003.9";""
"173898000";"3813500";"3298";"2023.7";"0x805000000C040A00"
"175038000";"3813500";"3298";"2034.7";""
"176170000";"3813500";"3298";"2045.8";""
"177671000";"3813500";"3298";"2065.6";"0xA85000000C040A00"
"178869000";"3223000";"3298";"2076.6";""
"180121000";"3223000";"3298";"2095.6";""
"181253000";"3223000";"3297";"2106.6";""
"182385000";"3223000";"3297";"2117.7";""
"183887000";"3676600";"3298";"2137.5";"0x805000000C040A00"
"185090000";"3676600";"3298";"2148.5";""
"186438000";"3676600";"3298";"2168.3";""
"187571000";"3676600";"3298";"2179.3";""
"188704000";"3325800";"3298";"2190.3";""
"190204000";"3325800";"3298";"2210.1";"0xA85000000C040A00"
"191403000";"3325800";"3298";"2221.1";""
"192535000";"3325800";"3297";"2232.2";""
"193786000";"3630100";"3297";"2251.2";""
"194926000";"3630100";"3297";"2262.2";""
"196427000";"3630100";"3297";"2282.0";"0x805000000C040A00"
"197626000";"3630100";"3297";"2293.4";"0xA85101B10C040A00"
"198757000";"3222600";"3297";"2304.1";""
"199889000";"3222600";"3297";"2314.7";""
"201023000";"3222600";"3297";"2325.7";""
"202524000";"3222600";"3297";"2345.5";""
"203723000";"3202600";"3297";"2356.6";""
"204861000";"3202600";"3297";"2367.6";""
"206112000";"3202600";"3297";"2386.6";"0xA85000000C040A00"
"207246000";"3202600";"3296";"2397.6";""
"208747000";"3672400";"3296";"2417.4";""
"209945000";"3672400";"3296";"2428.5";""
"211077000";"3672400";"3296";"2439.5";""
"212329000";"3672400";"3296";"2458.5";""
"213461000";"3350200";"3296";"2469.6";""
"214960000";"3350200";"3296";"2489.4";""
"216170000";"3350200";"3296";"2500.8";""
"217304000";"3350200";"3296";"2511.8";""
"218555000";"3644100";"3296";"2530.8";""
"219688000";"3644100";"3296";"2541.8";""
"221188000";"3644100";"3296";"2561.6";"0x885000000C040A00"
"222387000";"3644100";"3296";"2572.7";""
"223736000";"3605400";"3296";"2592.5";"0x805000000C040A00"
"224874000";"3605400";"3296";"2603.5";""
"226006000";"3605400";"3296";"2614.5";""
"227507000";"3605400";"3296";"2634.3";"0xA85000000C040A00"
"228706000";"3223400";"3296";"2645.3";"0xAA5101B204040E70"
"229837000";"3223400";"3296";"2656.0";""
"231088000";"3223400";"3296";"2675.0";"0xA85000000C040A00"
"232220000";"3223400";"3296";"2686.0";""
"233721000";"3655400";"3296";"2705.8";"0x805000000C040A00"
"234926000";"3655400";"3296";"2717.2";"0xA85101B10C040A00"
"236058000";"3655400";"3296";"2727.9";""
"237190000";"3655400";"3296";"2738.5";""
"238323000";"3655400";"3296";"2749.5";""
"239823000";"3153900";"3296";"2769.3";""
"241022000";"3153900";"3296";"2780.4";""
"242155000";"3153900";"3296";"2791.4";""
"243407000";"3153900";"3296";"2810.4";"0xA85000000C040A00"
"244546000";"3343400";"3296";"2821.4";""
"246047000";"3343400";"3296";"2841.2";""
"247244000";"3343400";"3296";"2852.3";""
"248378000";"3343400";"3296";"2863.3";""
"249629000";"3629600";"3296";"2882.3";""
"250762000";"3629600";"3296";"2893.3";""
"252263000";"3629600";"3296";"2913.1";""
"253461000";"3629600";"3296";"2924.2";""
"254599000";"3223400";"3295";"2935.2";""
"255850000";"3223400";"3295";"2954.2";""
"256982000";"3223400";"3295";"2965.3";""
"258487000";"3885500";"3295";"2985.0";""
"259685000";"3885500";"3295";"2996.1";""
"260819000";"3885500";"3296";"3007.5";""
"262070000";"3885500";"3296";"3026.5";""
"263203000";"3348400";"3296";"3037.2";""
"264711000";"3348400";"3296";"3057.3";"0x805000000C040A00"
"265909000";"3348400";"3296";"3068.4";"0xA85101B10C040A00"
"267042000";"3348400";"3296";"3079.0";""
"268174000";"3222600";"3297";"3090.0";""
"269307000";"3222600";"3297";"3101.0";""
"270808000";"3222600";"3297";"3120.8";""
"272007000";"3222600";"3297";"3131.9";""
"273138000";"3203900";"3297";"3142.5";""
"274395000";"3203900";"3297";"3161.9";"0xA85000000C040A00"
"275527000";"3203900";"3297";"3172.6";""
"277029000";"3913300";"3297";"3192.7";""
"278226000";"3913300";"3297";"3203.8";"0xA85000000C040A00"
"279359000";"3913300";"3297";"3214.8";""
"280610000";"3913300";"3297";"3233.8";""
"281742000";"3350200";"3297";"3244.9";""
"283243000";"3350200";"3297";"3264.7";""
"284446000";"3350200";"3297";"3275.7";""
"285579000";"3350200";"3297";"3286.7";""
"286830000";"3626400";"3297";"3305.7";""
"287962000";"3626400";"3297";"3316.8";""
"289463000";"3626400";"3297";"3336.6";""
"290663000";"3626400";"3297";"3347.6";""
"291795000";"3226400";"3297";"3358.6";""
"293046000";"3226400";"3297";"3377.6";"0xA85000000C040A00"
"294179000";"3226400";"3298";"3388.7";""
"295685000";"3883600";"3298";"3408.5";"0x885000000C040A00"
"296884000";"3883600";"3298";"3419.5";""
"298233000";"3883600";"3298";"3439.7";""
"299370000";"3883600";"3297";"3450.3";""
"300503000";"3325800";"3297";"3461.3";""
"302003000";"3325800";"3297";"3481.1";""
"303201000";"3325800";"3298";"3492.2";""
"304341000";"3325800";"3298";"3503.6";""
"305593000";"3647300";"3298";"3522.6";"0xA85000000C040A00"
"306725000";"3647300";"3298";"3533.2";""
"308226000";"3647300";"3298";"3553.0";""
"309424000";"3647300";"3298";"3564.4";""
"310676000";"3629200";"3298";"3583.5";""
"311809000";"3629200";"3298";"3594.1";""
"312943000";"3629200";"3298";"3605.1";""
"314449000";"3629200";"3298";"3624.9";"0x885000000C040A00"
"315649000";"3221400";"3298";"3636.3";""
"316997000";"3221400";"3299";"3656.1";""
"318129000";"3221400";"3299";"3667.2";""
"319262000";"3221400";"3299";"3677.8";""
"320763000";"3652600";"3299";"3698.0";""
"321961000";"3652600";"3299";"3709.0";""
"323093000";"3652600";"3299";"3720.0";""
"324349000";"3652600";"3299";"3739.1";"0xA85000000C040A00"
"325482000";"3346500";"3299";"3750.1";""
"326983000";"3346500";"3299";"3769.9";""
"328182000";"3346500";"3299";"3780.9";""
"329315000";"3346500";"3299";"3791.9";""
"330566000";"3628700";"3298";"3811.0";""
"331699000";"3628700";"3298";"3822.0";""
"333200000";"3628700";"3298";"3841.8";"0x805000000C040A00"
"334403000";"3628700";"3298";"3853.2";""
"335753000";"3623800";"3298";"3873.0";""
"336885000";"3623800";"3298";"3884.0";""
"338017000";"3623800";"3298";"3895.1";""
"339517000";"3623800";"3298";"3914.8";"0xA85000000C040A00"
"340715000";"3228000";"3298";"3925.9";""
"341853000";"3228000";"3298";"3936.9";""
"343104000";"3228000";"3298";"3955.9";""
"344237000";"3228000";"3298";"3967.0";""
"345744000";"3669100";"3298";"3986.8";"0x885000000C040A00"
"346941000";"3669100";"3298";"3998.2";""
"348289000";"3669100";"3298";"4018.0";"0x805000000C040A00"
"349422000";"3669100";"3298";"4029.0";""
"350555000";"3353900";"3298";"4040.0";""
"352056000";"3353900";"3298";"4059.8";"0xA85000000C040A00"
"353255000";"3353900";"3298";"4070.8";""
"354393000";"3353900";"3297";"4081.8";""
"355644000";"3625100";"3297";"4100.9";""
"356778000";"3625100";"3297";"4111.9";""
"358278000";"3625100";"3297";"4131.7";"0x885000000C040A00"
"359476000";"3625100";"3298";"4143.1";""
"360825000";"3628200";"3297";"4162.9";""
"361958000";"3628200";"3298";"4173.9";""
"363091000";"3628200";"3298";"4185.0";""
"364597000";"3628200";"3298";"4204.8";""
"365796000";"3222200";"3298";"4215.8";""
"366929000";"3222200";"3297";"4226.8";""
"368180000";"3222200";"3297";"4245.8";"0xA85000000C040A00"
"369313000";"3222200";"3297";"4256.9";""
"370813000";"3677500";"3297";"4276.7";"0x885000000C040A00"
"372011000";"3677500";"3297";"4287.7";""
"373359000";"3677500";"3297";"4307.9";""
"374497000";"3677500";"3297";"4318.5";""
"375631000";"3325400";"3297";"4329.5";""
"377132000";"3325400";"3297";"4349.7";""
"378331000";"3325400";"3297";"4360.7";""
"379464000";"3325400";"3297";"4371.8";""
"380714000";"3652000";"3297";"4390.8";"0xA85000000C040A00"
"381849000";"3652000";"3297";"4401.8";""
"383354000";"3652000";"3297";"4421.6";""
"384558000";"3652000";"3297";"4433.0";""
"385808000";"3644600";"3297";"4452.1";""
"386941000";"3644600";"3297";"4463.1";""
"388073000";"3644600";"3297";"4473.7";""
"389575000";"3644600";"3297";"4493.5";""
"390773000";"3226400";"3297";"4504.9";""
"392023000";"3226400";"3297";"4524.0";""
"393157000";"3226400";"3297";"4535.0";""
"394295000";"3226400";"3297";"4546.0";""
"395796000";"3673300";"3297";"4565.8";"0x805000000C040A00"
"396994000";"3673300";"3297";"4576.8";""
"398343000";"3673300";"3297";"4597.0";"0x805000000C040A00"
"399476000";"3673300";"3297";"4608.0";""
"400608000";"3353500";"3297";"4619.1";""
"402110000";"3353500";"3297";"4638.9";"0xA85000000C040A00"
"403308000";"3353500";"3297";"4649.9";""
"404565000";"3818600";"3297";"4668.9";""
"405697000";"3818600";"3297";"4679.9";""
"406829000";"3818600";"3297";"4691.0";""
"408330000";"3818600";"3297";"4710.8";"0x805000000C040A00"
"409528000";"3250900";"3297";"4722.2";"0xA85101B10C040A00"
"410661000";"3250900";"3297";"4732.8";""
"411793000";"3250900";"3297";"4743.4";""
"412926000";"3250900";"3297";"4754.5";""
"414432000";"3219300";"3297";"4774.3";""
"415630000";"3219300";"3297";"4785.3";""
"416764000";"3219300";"3297";"4796.3";""
"418015000";"3219300";"3297";"4815.4";"0xA85000000C040A00"
"419148000";"3348400";"3297";"4826.4";""
"420649000";"3348400";"3297";"4846.2";""
"421847000";"3348400";"3297";"4857.6";""
"422979000";"3348400";"3297";"4868.6";""
"424231000";"3652900";"3297";"4887.6";""
"425374000";"3652900";"3297";"4898.7";""
"426874000";"3652900";"3297";"4918.5";""
"428074000";"3652900";"3297";"4929.5";""
"429422000";"3598300";"3297";"4949.3";"0x885000000C040A00"
"430554000";"3598300";"3297";"4960.3";""
"431688000";"3598300";"3298";"4971.3";""
"433188000";"3598300";"3298";"4991.1";""
"434392000";"3246300";"3298";"5002.5";""
"435524000";"3246300";"3298";"5013.6";""
"436776000";"3246300";"3298";"5032.6";"0xA85000000C040A00"
"437909000";"3246300";"3298";"5043.6";""
"439409000";"3677100";"3298";"5063.4";""
"440608000";"3677100";"3298";"5074.4";""
"441859000";"3677100";"3298";"5093.9";""
"442992000";"3677100";"3298";"5104.5";""
"444126000";"3347900";"3298";"5115.5";""
"445632000";"3347900";"3298";"5135.3";"0x885000000C040A00"
"446830000";"3347900";"3298";"5146.7";""
"448179000";"3812900";"3298";"5166.5";""
"449313000";"3812900";"3298";"5177.2";""
"450445000";"3812900";"3298";"5188.2";""
"451946000";"3812900";"3298";"5208.4";""
"453145000";"3225900";"3298";"5219.4";""
"454283000";"3225900";"3298";"5230.4";""
"455535000";"3225900";"3298";"5249.8";"0xA85000000C040A00"
"456668000";"3225900";"3298";"5260.9";""
"458168000";"3696300";"3298";"5280.7";""
"459366000";"3696300";"3298";"5291.7";""
"460714000";"3696300";"3298";"5311.5";""
"461848000";"3696300";"3298";"5322.5";""
"462980000";"3329400";"3298";"5333.5";""
"464487000";"3329400";"3298";"5353.3";""
"465685000";"3329400";"3298";"5364.3";""
"466823000";"3329400";"3298";"5375.4";""
"468074000";"3621400";"3297";"5394.4";""
"469207000";"3621400";"3297";"5405.4";""
"470709000";"3621400";"3297";"5425.2";""
"471907000";"3621400";"3297";"5436.6";""
"473255000";"3627800";"3297";"5456.4";"0x885000000C040A00"
"474394000";"3627800";"3297";"5467.5";""
"475526000";"3627800";"3297";"5478.5";""
"477027000";"3627800";"3298";"5498.3";""
"478225000";"3223400";"3298";"5509.3";""
"479358000";"3223400";"3298";"5520.7";""
"480608000";"3223400";"3298";"5539.7";"0xA85000000C040A00"
"481740000";"3223400";"3297";"5550.8";""
"483241000";"3701100";"3297";"5570.6";""
"484445000";"3701100";"3297";"5581.6";""
"485696000";"3701100";"3297";"5600.6";""
"486830000";"3701100";"3297";"5611.6";""
"487962000";"3345200";"3297";"5622.7";"0xA85000010C040A00"
"489034000";"3345200";"3297";"5629.5";""
"490234000";"3345200";"3297";"5640.5";""
"491367000";"3345200";"3297";"5651.5";""
"492619000";"3345200";"3297";"5670.6";"0xA85000000C040A00"
"493752000";"3084500";"3297";"5681.6";""
"495258000";"3084500";"3297";"5701.8";""
"496456000";"3084500";"3297";"5712.8";""
"497589000";"3084500";"3297";"5723.8";""
"498841000";"3648300";"3297";"5742.9";""
"499974000";"3648300";"3297";"5753.9";""
"501474000";"3648300";"3297";"5773.7";""
"502673000";"3648300";"3297";"5784.7";"0xA85000000C040A00"
"503806000";"3225900";"3296";"5795.7";""
"505063000";"3225900";"3296";"5815.2";""
"506197000";"3225900";"3297";"5826.2";""
"507697000";"3912700";"3297";"5846.0";""
"508901000";"3912700";"3297";"5857.0";""
"510034000";"3912700";"3297";"5868.0";""
"511285000";"3912700";"3297";"5887.1";""
"512418000";"3345200";"3297";"5898.1";""
"513918000";"3345200";"3297";"5917.9";""
"515121000";"3345200";"3297";"5928.9";""
"516256000";"3345200";"3297";"5939.9";""
"517507000";"3647800";"3297";"5959.4";""
"518640000";"3647800";"3297";"5970.4";""
"520140000";"3647800";"3297";"5989.8";""
"521339000";"3647800";"3297";"6001.2";""
"522687000";"3606300";"3297";"6021.0";"0x885000000C040A00"
"523820000";"3606300";"3297";"6032.0";""
"524959000";"3606300";"3297";"6043.0";""
"526452000";"3606300";"3297";"6062.8";"0xA85000000C040A00"
"527658000";"3222200";"3297";"6073.9";""
"528792000";"3222200";"3297";"6084.9";""
"530042000";"3222200";"3298";"6103.9";""
"531175000";"3222200";"3298";"6114.9";""
"532675000";"3678000";"3298";"6134.7";"0x885000000C040A00"
"533873000";"3678000";"3297";"6145.8";""
"535226000";"3678000";"3298";"6165.9";""
"536359000";"3678000";"3298";"6176.6";""
"537492000";"3325800";"3298";"6187.6";""
"538993000";"3325800";"3298";"6207.8";""
"540192000";"3325800";"3298";"6218.8";""
"541324000";"3325800";"3297";"6229.8";""
"542576000";"3652000";"3297";"6248.9";"0xA85000000C040A00"
"543708000";"3652000";"3297";"6259.9";""
"545216000";"3652000";"3297";"6279.7";"0x805000000C040A00"
"546414000";"3652000";"3297";"6291.1";""
"547763000";"3623300";"3297";"6310.9";""
"548896000";"3623300";"3297";"6321.9";""
"550030000";"3623300";"3297";"6332.9";""
"551534000";"3623300";"3297";"6352.7";"0xA85000000C040A00"
"552732000";"3223400";"3298";"6363.8";""
"553984000";"3223400";"3298";"6383.2";""
"555122000";"3223400";"3298";"6393.8";""
"556256000";"3223400";"3298";"6404.9";""
"557756000";"3695900";"3298";"6425.0";"0x885000000C040A00"
"558954000";"3695900";"3298";"6436.1";""
"560302000";"3695900";"3298";"6455.9";""
"561436000";"3695900";"3298";"6466.9";""
"562568000";"3329400";"3298";"6477.9";""
"564069000";"3329400";"3298";"6497.7";""
"565273000";"3329400";"3298";"6508.7";""
"566405000";"3329400";"3298";"6519.7";""
"567657000";"3625500";"3298";"6538.8";"0xA85000000C040A00"
"568790000";"3625500";"3298";"6549.8";""
"570291000";"3625500";"3298";"6569.6";""
"571488000";"3625500";"3298";"6581.0";""
"572837000";"3628200";"3298";"6600.8";"0x805000000C040A00"
"573970000";"3628200";"3298";"6611.8";""
"575109000";"3628200";"3298";"6622.9";""
"576608000";"3628200";"3298";"6642.6";"0xA85000000C040A00"
"577807000";"3223000";"3298";"6653.7";""
"578940000";"3223000";"3298";"6665.1";""
"580192000";"3223000";"3297";"6684.1";""
"581324000";"3223000";"3297";"6695.1";""
"582825000";"3699700";"3297";"6714.9";"0x805000000C040A00"
"584023000";"3699700";"3297";"6726.0";"0xA85101B10C040A00"
"585162000";"3699700";"3298";"6737.0";""
"586295000";"3699700";"3298";"6747.6";""
"587427000";"3699700";"3297";"6758.6";""
"588928000";"3153500";"3297";"6778.4";""
"590127000";"3153500";"3297";"6789.5";""
"591259000";"3153500";"3297";"6800.5";""
"592510000";"3153500";"3297";"6819.5";"0xA85000000C040A00"
"593648000";"3345600";"3297";"6830.6";""
"595154000";"3345600";"3297";"6850.7";""
"596352000";"3345600";"3297";"6861.8";""
"597484000";"3345600";"3297";"6872.8";""
"598735000";"3649200";"3297";"6891.8";""
