Time (ns);Current (nA);Voltage (mV);Energy (uJ)
"45578000";"571700";"3296";"88.8"
"45791000";"571700";"3296";"89.2"
"46009000";"571700";"3296";"89.6"
"46419000";"571700";"3296";"90.3"
"46697000";"571700";"3296";"91.1"
"46909000";"571700";"3296";"91.4"
"47122000";"571700";"3296";"91.8"
"47333000";"571700";"3296";"92.2"
"47743000";"571700";"3296";"92.9"
"48021000";"571700";"3296";"93.7"
"48233000";"571700";"3296";"94.1"
"48446000";"571700";"3297";"94.4"
"48659000";"571700";"3297";"94.8"
"49069000";"571700";"3297";"95.6"
"49346000";"571700";"3297";"95.9"
"49559000";"571700";"3297";"96.3"
"49771000";"571700";"3297";"96.7"
"49984000";"571700";"3297";"97.4"
"50394000";"571700";"3297";"98.2"
"50674000";"571700";"3297";"98.5"
"50886000";"571700";"3297";"98.9"
"51099000";"571700";"3297";"99.3"
"51312000";"576300";"3297";"99.7"
"51722000";"576300";"3297";"100.4"
"52000000";"576300";"3297";"101.2"
"52211000";"576300";"3297";"101.5"
"52424000";"576300";"3297";"101.9"
"52636000";"576300";"3297";"102.3"
"53046000";"576300";"3296";"103.0"
"53324000";"576300";"3297";"103.8"
"53536000";"576300";"3297";"104.1"
"53749000";"576300";"3297";"104.5"
"53962000";"576300";"3297";"104.9"
"54371000";"576300";"3297";"105.6"
"54648000";"576300";"3297";"106.0"
"54861000";"576300";"3297";"106.8"
"55074000";"576300";"3297";"107.1"
"55286000";"576300";"3297";"107.5"
"55696000";"576300";"3297";"108.3"
"55980000";"576300";"3297";"108.6"
"56192000";"576300";"3297";"109.0"
"56405000";"576300";"3297";"109.4"
"56617000";"576300";"3297";"110.1"
"57027000";"576300";"3297";"110.9"
"57305000";"576300";"3297";"111.2"
"57517000";"576300";"3297";"111.6"
"57730000";"576300";"3297";"112.0"
"57944000";"576300";"3297";"112.4"
"58354000";"576300";"3297";"113.1"
"58632000";"576300";"3297";"113.9"
"58845000";"576300";"3297";"114.2"
"59058000";"576300";"3297";"114.6"
"59269000";"576300";"3297";"115.0"
"59680000";"576300";"3297";"115.7"
"59958000";"576300";"3297";"116.5"
"60170000";"576300";"3297";"116.8"
"60382000";"576300";"3297";"117.2"
"60595000";"576300";"3297";"117.6"
"61006000";"576300";"3297";"118.3"
"61283000";"576300";"3297";"118.7"
"61495000";"576300";"3297";"119.1"
"61708000";"576300";"3297";"119.5"
"61920000";"576300";"3297";"120.2"
"62330000";"576300";"3297";"121.0"
"62607000";"576300";"3297";"121.3"
"62820000";"576300";"3297";"121.7"
"63033000";"576300";"3297";"122.1"
"63246000";"576300";"3296";"122.4"
"63656000";"576300";"3296";"123.2"
"63934000";"576300";"3296";"123.9"
"64146000";"576300";"3296";"124.3"
"64358000";"576300";"3296";"124.7"
"64570000";"576300";"3296";"125.1"
"64979000";"576300";"3296";"125.8"
"65257000";"576300";"3296";"126.2"
"65469000";"576300";"3296";"126.9"
"65681000";"576300";"3297";"127.3"
"65899000";"576300";"3297";"127.7"
"66309000";"576300";"3297";"128.4"
"66587000";"576300";"3297";"128.8"
"66799000";"576300";"3297";"129.2"
"67012000";"576300";"3297";"129.5"
"67225000";"576300";"3297";"130.3"
"67635000";"576300";"3297";"131.0"
"67912000";"576300";"3297";"131.4"
"68124000";"576300";"3297";"131.8"
"68336000";"576300";"3296";"132.2"
"68549000";"576300";"3296";"132.5"
"68960000";"576300";"3296";"133.3"
"69238000";"576300";"3296";"134.0"
"69450000";"576300";"3296";"134.4"
"69662000";"576300";"3296";"134.8"
"69875000";"576300";"3296";"135.1"
"70285000";"576300";"3296";"135.9"
"70563000";"576300";"3296";"136.3"
"70776000";"576300";"3296";"137.0"
"70988000";"576300";"3296";"137.4"
"71201000";"576300";"3296";"137.8"
"71610000";"576300";"3297";"138.5"
"71888000";"576300";"3297";"138.9"
"72101000";"576300";"3296";"139.2"
"72314000";"576300";"3296";"139.6"
"72526000";"576300";"3296";"140.0"
"72936000";"576300";"3297";"141.1"
"73214000";"576300";"3297";"141.5"
"73426000";"576300";"3296";"141.9"
"73639000";"576300";"3296";"142.2"
"73852000";"576300";"3296";"142.6"
"74263000";"576300";"3296";"143.4"
"74540000";"576300";"3296";"144.1"
"74753000";"576300";"3296";"144.5"
"74965000";"576300";"3296";"144.9"
"75178000";"576300";"3296";"145.2"
"75588000";"576300";"3296";"146.0"
"75871000";"576300";"3296";"146.7"
"76084000";"576300";"3296";"147.1"
"76297000";"576300";"3297";"147.5"
"76508000";"576300";"3297";"147.8"
"76919000";"576300";"3297";"148.6"
"77196000";"576300";"3297";"149.0"
"77409000";"576800";"3297";"149.3"
"77622000";"576800";"3297";"149.7"
"77834000";"576800";"3297";"150.1"
"78245000";"576800";"3297";"151.2"
"78523000";"576800";"3297";"151.6"
"78735000";"576800";"3297";"151.9"
"78947000";"576800";"3297";"152.3"
"79161000";"576800";"3297";"152.7"
"79571000";"576800";"3296";"153.4"
"79849000";"576800";"3296";"154.2"
"80061000";"576800";"3297";"154.6"
"80273000";"576800";"3296";"154.9"
"80485000";"576800";"3296";"155.3"
"80888000";"576800";"3296";"156.1"
"81173000";"576800";"3296";"156.4"
"81386000";"576800";"3296";"157.2"
"81600000";"576800";"3297";"157.6"
"81812000";"576800";"3297";"157.9"
"82222000";"576800";"3297";"158.7"
"82504000";"576800";"3297";"159.0"
"82716000";"576800";"3297";"159.4"
"82929000";"576800";"3297";"159.8"
"83142000";"576800";"3297";"160.2"
"83552000";"576800";"3297";"161.3"
"83830000";"576800";"3297";"161.7"
"84042000";"576800";"3297";"162.0"
"84256000";"576800";"3297";"162.4"
"84468000";"576800";"3296";"162.8"
"84878000";"576800";"3296";"163.5"
"85157000";"576800";"3296";"164.3"
"85369000";"576800";"3297";"164.6"
"85580000";"576800";"3297";"165.0"
"85792000";"576800";"3297";"165.4"
"86208000";"576800";"3296";"166.1"
"86487000";"576800";"3296";"166.9"
"86700000";"576800";"3297";"167.3"
"86912000";"576800";"3297";"167.6"
"87124000";"576800";"3297";"168.0"
"87534000";"576800";"3297";"168.8"
"87813000";"576800";"3297";"169.1"
"88026000";"576800";"3297";"169.5"
"88238000";"576800";"3297";"169.9"
"88451000";"576800";"3297";"170.6"
"88862000";"576800";"3297";"171.4"
"89139000";"576800";"3297";"171.7"
"89353000";"576800";"3297";"172.1"
"89564000";"576800";"3297";"172.5"
"89777000";"576800";"3297";"172.9"
"90188000";"576800";"3297";"173.6"
"90466000";"576800";"3297";"174.4"
"90678000";"576800";"3297";"174.7"
"90890000";"576800";"3297";"175.1"
"91103000";"576800";"3297";"175.5"
"91513000";"576800";"3297";"176.2"
"91791000";"576800";"3297";"176.6"
"92003000";"576800";"3297";"177.3"
"92215000";"576800";"3297";"177.7"
"92428000";"576800";"3297";"178.1"
"92837000";"576800";"3297";"178.8"
"93116000";"576800";"3297";"179.2"
"93328000";"576800";"3297";"179.6"
"93541000";"576800";"3297";"180.0"
"93754000";"576800";"3297";"180.3"
"94165000";"576800";"3297";"181.5"
"94442000";"576800";"3297";"181.8"
"94654000";"576800";"3297";"182.2"
"94867000";"576800";"3297";"182.6"
"95079000";"576800";"3297";"182.9"
"95489000";"576800";"3297";"183.7"
"95767000";"576800";"3297";"184.4"
"95985000";"576800";"3297";"184.8"
"96197000";"576800";"3297";"185.2"
"96409000";"576800";"3297";"185.6"
"96819000";"576800";"3296";"186.3"
"97097000";"576800";"3296";"186.7"
"97310000";"576800";"3296";"187.4"
"97521000";"576800";"3297";"187.8"
"97735000";"576800";"3297";"188.2"
"98209000";"576800";"3297";"188.9"
"98422000";"576800";"3297";"189.3"
"98635000";"576800";"3297";"189.7"
"98848000";"576800";"3297";"190.0"
"99061000";"576800";"3297";"190.4"
"99470000";"576800";"3297";"191.5"
"99749000";"576800";"3297";"191.9"
"99961000";"576800";"3297";"192.3"
"100174000";"576800";"3297";"192.7"
"100387000";"576800";"3297";"193.0"
"100798000";"576800";"3296";"193.8"
"101076000";"576800";"3296";"194.5"
"101288000";"576800";"3297";"194.9"
"101500000";"576800";"3297";"195.3"
"101712000";"576800";"3296";"195.6"
"102187000";"576800";"3296";"196.4"
"102400000";"576800";"3296";"196.8"
"102613000";"576800";"3296";"197.5"
"102825000";"576800";"3297";"197.9"
"103037000";"576800";"3297";"198.3"
"103447000";"578100";"3297";"199.0"
"103724000";"578100";"3297";"199.4"
"103937000";"578100";"3296";"199.7"
"104149000";"578100";"3296";"200.1"
"104362000";"578100";"3297";"200.5"
"104837000";"578100";"3297";"201.6"
"105050000";"578100";"3297";"202.0"
"105263000";"578100";"3296";"202.4"
"105475000";"578100";"3296";"202.7"
"105689000";"578100";"3296";"203.1"
"106105000";"578100";"3296";"203.9"
"106383000";"578100";"3296";"204.6"
"106595000";"578100";"3296";"205.0"
"106808000";"578100";"3296";"205.4"
"107020000";"578100";"3296";"205.7"
"107429000";"578100";"3296";"206.5"
"107708000";"578100";"3296";"206.8"
"107920000";"578100";"3296";"207.6"
"108132000";"578100";"3296";"208.0"
"108345000";"578100";"3296";"208.3"
"108821000";"578100";"3297";"209.1"
"109033000";"578100";"3296";"209.5"
"109246000";"578100";"3296";"209.8"
"109457000";"578100";"3296";"210.2"
"109670000";"578100";"3296";"210.6"
"110081000";"578100";"3297";"211.7"
"110359000";"578100";"3297";"212.1"
"110570000";"578100";"3297";"212.4"
"110782000";"578100";"3296";"212.8"
"110995000";"578100";"3296";"213.2"
"111406000";"578100";"3296";"213.9"
"111619000";"578100";"3296";"214.3"
"111897000";"578100";"3296";"215.1"
"112108000";"578100";"3296";"215.4"
"112320000";"578100";"3296";"215.8"
"112730000";"578100";"3296";"216.6"
"113008000";"578100";"3296";"216.9"
"113221000";"578100";"3296";"217.7"
"113433000";"578100";"3296";"218.1"
"113646000";"578100";"3297";"218.4"
"114057000";"578100";"3297";"219.2"
"114335000";"578100";"3297";"219.5"
"114547000";"578100";"3297";"219.9"
"114759000";"578100";"3297";"220.3"
"114972000";"578100";"3297";"220.7"
"115448000";"578100";"3297";"221.8"
"115660000";"578100";"3297";"222.2"
"115879000";"578100";"3297";"222.5"
"116090000";"578100";"3297";"222.9"
"116303000";"578100";"3296";"223.3"
"116778000";"578100";"3297";"224.4"
"116991000";"578100";"3297";"224.8"
"117204000";"578100";"3297";"225.1"
"117417000";"578100";"3297";"225.5"
"117630000";"578100";"3297";"225.9"
"118023000";"578100";"3297";"226.6"
"118309000";"578100";"3297";"227.4"
"118521000";"578100";"3297";"227.8"
"118733000";"578100";"3297";"228.1"
"118945000";"578100";"3297";"228.5"
"119355000";"578100";"3297";"229.3"
"119633000";"578100";"3297";"229.6"
"119846000";"578100";"3297";"230.0"
"120058000";"578100";"3297";"230.4"
"120270000";"578100";"3297";"231.1"
"120680000";"578100";"3297";"231.9"
"120958000";"578100";"3297";"232.2"
"121169000";"578100";"3297";"232.6"
"121383000";"578100";"3297";"233.0"
"121595000";"578100";"3297";"233.4"
"122005000";"578100";"3297";"234.1"
"122283000";"578100";"3297";"234.9"
"122495000";"578100";"3297";"235.2"
"122707000";"578100";"3297";"235.6"
"122919000";"578100";"3297";"236.0"
"123330000";"578100";"3297";"236.7"
"123608000";"578100";"3297";"237.5"
"123820000";"578100";"3297";"237.8"
"124032000";"578100";"3297";"238.2"
"124245000";"578100";"3297";"238.6"
"124659000";"578100";"3297";"239.3"
"124937000";"578100";"3297";"239.7"
"125150000";"578100";"3297";"240.1"
"125363000";"578100";"3297";"240.8"
"125575000";"578100";"3297";"241.2"
"125984000";"578100";"3297";"242.0"
"126270000";"578100";"3297";"242.3"
"126482000";"578100";"3297";"242.7"
"126695000";"578100";"3297";"243.1"
"126907000";"578100";"3297";"243.4"
"127317000";"578100";"3297";"244.2"
"127596000";"578100";"3297";"244.9"
"127808000";"578100";"3297";"245.3"
"128020000";"578100";"3297";"245.7"
"128233000";"578100";"3296";"246.1"
"128644000";"578100";"3296";"246.8"
"128921000";"578100";"3296";"247.6"
"129134000";"578100";"3296";"247.9"
"129346000";"578100";"3296";"248.3"
"129559000";"576400";"3296";"248.7"
"129969000";"576400";"3296";"249.4"
"130247000";"576400";"3296";"249.8"
"130460000";"576400";"3297";"250.5"
"130673000";"576400";"3297";"250.9"
"130885000";"576400";"3297";"251.3"
"131295000";"576400";"3297";"252.0"
"131573000";"576400";"3297";"252.4"
"131785000";"576400";"3297";"252.8"
"131998000";"576400";"3297";"253.2"
"132211000";"576400";"3297";"253.5"
"132621000";"576400";"3297";"254.7"
"132899000";"576400";"3297";"255.0"
"133111000";"576400";"3297";"255.4"
"133324000";"576400";"3297";"255.8"
"133537000";"576400";"3296";"256.1"
"133948000";"576400";"3296";"256.9"
"134226000";"576400";"3296";"257.6"
"134438000";"576400";"3296";"258.0"
"134650000";"576400";"3296";"258.4"
"134862000";"576400";"3297";"258.8"
"135271000";"576400";"3297";"259.5"
"135550000";"576400";"3297";"259.9"
"135763000";"576400";"3297";"260.6"
"135981000";"576400";"3297";"261.0"
"136193000";"576400";"3297";"261.4"
"136604000";"576400";"3297";"262.1"
"136881000";"576400";"3297";"262.5"
"137095000";"576400";"3297";"262.9"
"137307000";"576400";"3297";"263.2"
"137520000";"576400";"3297";"264.0"
"137930000";"576400";"3297";"264.7"
"138208000";"576400";"3297";"265.1"
"138420000";"576400";"3297";"265.5"
"138633000";"576400";"3297";"265.9"
"138846000";"576400";"3297";"266.2"
"139256000";"576400";"3297";"267.0"
"139533000";"576400";"3297";"267.7"
"139745000";"576400";"3297";"268.1"
"139957000";"576400";"3297";"268.5"
"140169000";"576400";"3297";"268.8"
"140579000";"576400";"3297";"269.6"
"140858000";"576400";"3297";"270.3"
"141070000";"576400";"3297";"270.7"
"141282000";"576400";"3297";"271.1"
"141495000";"576400";"3297";"271.5"
"141905000";"576400";"3297";"272.2"
"142183000";"576400";"3297";"272.6"
"142396000";"576400";"3297";"272.9"
"142608000";"576400";"3297";"273.3"
"142821000";"576400";"3297";"274.1"
"143231000";"576400";"3297";"274.8"
"143509000";"576400";"3297";"275.2"
"143721000";"576400";"3297";"275.6"
"143932000";"576400";"3297";"275.9"
"144145000";"576400";"3297";"276.3"
"144556000";"576400";"3297";"277.1"
"144834000";"576400";"3297";"277.8"
"145046000";"576400";"3297";"278.2"
"145258000";"576400";"3297";"278.6"
"145470000";"576400";"3297";"278.9"
"145886000";"576400";"3296";"279.7"
"146163000";"576400";"3296";"280.4"
"146376000";"576400";"3296";"280.8"
"146588000";"576400";"3297";"281.2"
"146801000";"576400";"3297";"281.5"
"147210000";"576400";"3297";"282.3"
"147488000";"576400";"3297";"282.7"
"147700000";"576400";"3297";"283.0"
"147913000";"576400";"3297";"283.8"
"148126000";"576400";"3297";"284.2"
"148535000";"576400";"3297";"284.9"
"148814000";"576400";"3297";"285.3"
"149025000";"576400";"3297";"285.6"
"149238000";"576400";"3296";"286.0"
"149450000";"576400";"3296";"286.4"
"149861000";"576400";"3296";"287.1"
"150139000";"576400";"3296";"287.9"
"150352000";"576400";"3297";"288.3"
"150564000";"576400";"3296";"288.6"
"150777000";"576400";"3296";"289.0"
"151187000";"576400";"3296";"289.8"
"151466000";"576400";"3296";"290.5"
"151679000";"576400";"3296";"290.9"
"151892000";"576400";"3296";"291.3"
"152105000";"576400";"3296";"291.6"
"152515000";"576400";"3297";"292.4"
"152791000";"576400";"3297";"292.7"
"153004000";"576400";"3297";"293.1"
"153217000";"576400";"3297";"293.9"
"153429000";"576400";"3297";"294.2"
"153839000";"576400";"3297";"295.0"
"154118000";"576400";"3297";"295.4"
"154330000";"576400";"3297";"295.7"
"154543000";"576400";"3297";"296.1"
"154756000";"576400";"3297";"296.5"
"155166000";"576400";"3297";"297.6"
"155443000";"576400";"3297";"298.0"
"155657000";"576800";"3297";"298.3"
"155874000";"576800";"3297";"298.7"
"156087000";"576800";"3297";"299.1"
"156497000";"576800";"3296";"299.8"
"156775000";"576800";"3296";"300.6"
"156987000";"576800";"3296";"301.0"
"157200000";"576800";"3297";"301.3"
"157412000";"576800";"3297";"301.7"
"157822000";"576800";"3297";"302.5"
"158101000";"576800";"3297";"302.8"
"158313000";"576800";"3297";"303.6"
"158526000";"576800";"3297";"304.0"
"158739000";"576800";"3297";"304.3"
"159148000";"576800";"3297";"305.1"
"159427000";"576800";"3297";"305.4"
"159640000";"576800";"3297";"305.8"
"159852000";"576800";"3297";"306.2"
"160065000";"576800";"3297";"306.6"
"160474000";"576800";"3297";"307.7"
"160751000";"576800";"3297";"308.1"
"160963000";"576800";"3297";"308.4"
"161176000";"576800";"3297";"308.8"
"161389000";"576800";"3297";"309.2"
"161865000";"576800";"3297";"310.3"
"162078000";"576800";"3297";"310.7"
"162290000";"576800";"3297";"311.0"
"162503000";"576800";"3297";"311.4"
"162716000";"576800";"3297";"311.8"
"163109000";"576800";"3297";"312.5"
"163396000";"576800";"3297";"312.9"
"163609000";"576800";"3297";"313.3"
"163823000";"576800";"3297";"314.0"
"164035000";"576800";"3297";"314.4"
"164446000";"576800";"3297";"315.2"
"164725000";"576800";"3297";"315.5"
"164938000";"576800";"3297";"315.9"
"165151000";"576800";"3297";"316.3"
"165364000";"576800";"3297";"316.6"
"165840000";"576800";"3297";"317.8"
"166058000";"576800";"3297";"318.1"
"166276000";"576800";"3297";"318.5"
"166488000";"576800";"3297";"318.9"
"166701000";"576800";"3297";"319.3"
"167111000";"576800";"3297";"320.0"
"167390000";"576800";"3297";"320.8"
"167601000";"576800";"3297";"321.1"
"167813000";"576800";"3297";"321.5"
"168025000";"576800";"3297";"321.9"
"168435000";"576800";"3297";"322.6"
"168713000";"576800";"3297";"323.0"
"168926000";"576800";"3297";"323.7"
"169139000";"576800";"3297";"324.1"
"169351000";"576800";"3297";"324.5"
"169761000";"576800";"3297";"325.2"
"170039000";"576800";"3297";"325.6"
"170251000";"576800";"3297";"326.0"
"170464000";"576800";"3297";"326.4"
"170676000";"576800";"3297";"326.7"
"171079000";"576800";"3297";"327.9"
"171365000";"576800";"3297";"328.2"
"171577000";"576800";"3297";"328.6"
"171789000";"576800";"3297";"329.0"
"172001000";"576800";"3297";"329.3"
"172411000";"576800";"3297";"330.1"
"172690000";"576800";"3297";"330.8"
"172902000";"576800";"3297";"331.2"
"173114000";"576800";"3297";"331.6"
"173327000";"576800";"3297";"332.0"
"173737000";"576800";"3297";"332.7"
"174015000";"576800";"3297";"333.1"
"174227000";"576800";"3297";"333.8"
"174439000";"576800";"3297";"334.2"
"174651000";"576800";"3297";"334.6"
"175061000";"576800";"3297";"335.3"
"175340000";"576800";"3297";"335.7"
"175552000";"576800";"3297";"336.1"
"175765000";"576800";"3297";"336.4"
"175984000";"576800";"3297";"337.2"
"176394000";"576800";"3297";"337.9"
"176672000";"576800";"3297";"338.3"
"176885000";"576800";"3297";"338.7"
"177097000";"576800";"3297";"339.1"
"177310000";"576800";"3297";"339.4"
"177720000";"576800";"3296";"340.2"
"177998000";"576800";"3296";"340.9"
"178210000";"576800";"3297";"341.3"
"178423000";"576800";"3297";"341.7"
"178636000";"576800";"3296";"342.0"
"179046000";"576800";"3296";"342.8"
"179324000";"576800";"3296";"343.2"
"179536000";"576800";"3296";"343.9"
"179747000";"576800";"3296";"344.3"
"179959000";"576800";"3296";"344.7"
"180368000";"576800";"3297";"345.4"
"180646000";"576800";"3297";"345.8"
"180858000";"576800";"3297";"346.5"
"181070000";"576800";"3297";"346.9"
"181283000";"576800";"3297";"347.3"
"181692000";"578200";"3297";"348.0"
"181970000";"578200";"3297";"348.4"
"182183000";"578200";"3296";"348.8"
"182395000";"578200";"3297";"349.1"
"182608000";"578200";"3297";"349.9"
"183018000";"578200";"3297";"350.6"
"183297000";"578200";"3297";"351.0"
"183509000";"578200";"3297";"351.4"
"183721000";"578200";"3297";"351.8"
"183934000";"578200";"3297";"352.1"
"184344000";"578200";"3296";"352.9"
"184621000";"578200";"3296";"353.6"
"184833000";"578200";"3296";"354.0"
"185045000";"578200";"3296";"354.4"
"185257000";"578200";"3296";"354.7"
"185668000";"578200";"3297";"355.5"
"185951000";"578200";"3297";"356.2"
"186164000";"578200";"3297";"356.6"
"186376000";"578200";"3297";"357.0"
"186588000";"578200";"3297";"357.4"
"186998000";"578200";"3297";"358.1"
"187275000";"578200";"3297";"358.5"
"187488000";"578200";"3297";"358.8"
"187700000";"578200";"3297";"359.2"
"187913000";"578200";"3297";"360.0"
"188323000";"578200";"3297";"360.7"
"188601000";"578200";"3297";"361.1"
"188813000";"578200";"3297";"361.5"
"189026000";"578200";"3297";"361.8"
"189239000";"578200";"3297";"362.2"
"189649000";"578200";"3296";"363.0"
"189927000";"578200";"3296";"363.7"
"190139000";"578200";"3296";"364.1"
"190351000";"578200";"3296";"364.5"
"190563000";"578200";"3296";"364.8"
"190972000";"578200";"3297";"365.6"
"191251000";"578200";"3297";"366.3"
"191464000";"578200";"3297";"366.7"
"191677000";"578200";"3297";"367.1"
"191889000";"578200";"3297";"367.4"
"192300000";"578200";"3297";"368.2"
"192577000";"578200";"3297";"368.6"
"192789000";"578200";"3297";"368.9"
"193002000";"578200";"3297";"369.3"
"193216000";"578200";"3297";"370.1"
"193626000";"578200";"3297";"370.8"
"193904000";"578200";"3297";"371.2"
"194116000";"578200";"3297";"371.5"
"194329000";"578200";"3297";"371.9"
"194542000";"578200";"3297";"372.3"
"194952000";"578200";"3297";"373.0"
"195230000";"578200";"3297";"373.8"
"195442000";"578200";"3297";"374.2"
"195655000";"578200";"3297";"374.5"
