Time (ns);Current (nA);Voltage (mV);Energy (uJ)
"43146000";"1017700";"3297";"149.4"
"43359000";"1017700";"3297";"150.2"
"43770000";"1017700";"3297";"151.7"
"44048000";"1017700";"3297";"152.4"
"44260000";"1017700";"3297";"153.2"
"44473000";"1017700";"3297";"153.9"
"44686000";"1017700";"3297";"154.7"
"45097000";"1017700";"3297";"156.2"
"45375000";"1017700";"3297";"157.0"
"45588000";"1017700";"3297";"157.7"
"45800000";"1017700";"3297";"158.5"
"46013000";"1017700";"3296";"159.2"
"46422000";"1017700";"3297";"160.3"
"46700000";"1017700";"3297";"161.5"
"46913000";"1017700";"3296";"162.2"
"47125000";"1017700";"3296";"163.0"
"47338000";"1017700";"3296";"163.7"
"47747000";"1017700";"3296";"164.9"
"48031000";"1017700";"3296";"166.0"
"48243000";"1017700";"3296";"166.7"
"48455000";"1017700";"3296";"167.5"
"48668000";"1017700";"3296";"167.9"
"49078000";"1017700";"3296";"169.4"
"49357000";"1017700";"3296";"170.5"
"49569000";"1017700";"3296";"171.3"
"49781000";"1017700";"3296";"172.0"
"49994000";"1017700";"3297";"172.4"
"50403000";"1017700";"3296";"173.9"
"50681000";"1017700";"3297";"175.0"
"50893000";"1017700";"3297";"175.4"
"51107000";"1017700";"3297";"176.2"
"51319000";"1017700";"3297";"176.9"
"51729000";"1017700";"3297";"178.4"
"52008000";"1017700";"3297";"179.2"
"52221000";"1017700";"3297";"179.9"
"52433000";"1017700";"3297";"180.7"
"52646000";"1017700";"3297";"181.4"
"53057000";"1017700";"3297";"182.9"
"53334000";"1017700";"3297";"183.7"
"53546000";"1017700";"3297";"184.4"
"53757000";"1017700";"3297";"185.2"
"53971000";"1017700";"3296";"185.9"
"54381000";"1017700";"3297";"187.5"
"54659000";"1017700";"3296";"188.2"
"54872000";"1017700";"3296";"189.0"
"55084000";"1017700";"3296";"189.7"
"55297000";"1017700";"3296";"190.5"
"55708000";"1017700";"3296";"192.0"
"55986000";"1017700";"3296";"192.7"
"56199000";"1017700";"3296";"193.5"
"56411000";"1017700";"3296";"194.2"
"56624000";"1017700";"3296";"195.0"
"57034000";"1017700";"3296";"196.1"
"57313000";"1017700";"3296";"197.2"
"57524000";"1017700";"3296";"198.0"
"57736000";"1024500";"3296";"198.7"
"57949000";"1024500";"3296";"199.5"
"58365000";"1024500";"3296";"200.6"
"58643000";"1024500";"3296";"201.8"
"58856000";"1024500";"3296";"202.5"
"59069000";"1024500";"3296";"203.3"
"59282000";"1024500";"3297";"204.0"
"59684000";"1024500";"3296";"205.1"
"59970000";"1024500";"3296";"206.3"
"60182000";"1024500";"3297";"206.6"
"60394000";"1024500";"3297";"207.4"
"60607000";"1024500";"3297";"208.2"
"61016000";"1024500";"3297";"209.7"
"61294000";"1024500";"3297";"210.4"
"61507000";"1024500";"3297";"211.2"
"61720000";"1024500";"3297";"211.9"
"61932000";"1024500";"3297";"212.7"
"62343000";"1024500";"3297";"214.2"
"62621000";"1024500";"3297";"214.9"
"62834000";"1024500";"3297";"215.7"
"63047000";"1024500";"3297";"216.4"
"63260000";"1024500";"3297";"217.2"
"63670000";"1024500";"3297";"218.7"
"63947000";"1024500";"3297";"219.5"
"64161000";"1024500";"3297";"220.2"
"64373000";"1024500";"3296";"221.0"
"64585000";"1024500";"3297";"221.7"
"64994000";"1024500";"3297";"222.8"
"65273000";"1024500";"3297";"224.0"
"65486000";"1024500";"3296";"224.7"
"65698000";"1024500";"3297";"225.5"
"65910000";"1024500";"3297";"225.8"
"66321000";"1024500";"3297";"227.4"
"66598000";"1024500";"3297";"228.5"
"66811000";"1024500";"3297";"229.2"
"67024000";"1024500";"3297";"229.6"
"67236000";"1024500";"3297";"230.4"
"67646000";"1024500";"3297";"231.9"
"67859000";"1024500";"3297";"232.6"
"68143000";"1024500";"3297";"233.4"
"68355000";"1024500";"3298";"234.1"
"68568000";"1024500";"3297";"234.9"
"68978000";"1024500";"3297";"236.4"
"69256000";"1024500";"3298";"237.1"
"69469000";"1024500";"3298";"237.9"
"69691000";"1024500";"3298";"238.7"
"69905000";"1024500";"3297";"239.4"
"70315000";"1024500";"3297";"240.9"
"70593000";"1024500";"3297";"241.7"
"70805000";"1024500";"3297";"242.4"
"71018000";"1024500";"3297";"243.2"
"71231000";"1024500";"3297";"243.9"
"71641000";"1024500";"3297";"245.4"
"71918000";"1024500";"3297";"246.2"
"72131000";"1024500";"3297";"246.9"
"72344000";"1024500";"3296";"247.7"
"72557000";"1016100";"3296";"248.4"
"72967000";"1016100";"3296";"250.0"
"73244000";"1016100";"3296";"250.7"
"73457000";"1016100";"3296";"251.5"
"73670000";"1016100";"3296";"252.2"
"73883000";"1016100";"3296";"253.0"
"74293000";"1016100";"3296";"254.1"
"74571000";"1016100";"3296";"255.2"
"74783000";"1016100";"3296";"256.0"
"74996000";"1016100";"3296";"256.7"
"75210000";"1016100";"3296";"257.5"
"75619000";"1016100";"3296";"258.6"
"75898000";"1016100";"3296";"259.7"
"76111000";"1016100";"3296";"260.5"
"76324000";"1016100";"3296";"261.2"
"76536000";"1016100";"3296";"262.0"
"76946000";"1016100";"3296";"263.1"
"77223000";"1016100";"3296";"264.3"
"77436000";"1016100";"3296";"265.0"
"77649000";"1016100";"3296";"265.8"
"77860000";"1016100";"3296";"266.5"
"78276000";"1016100";"3296";"267.6"
"78554000";"1016100";"3296";"268.8"
"78765000";"1016100";"3296";"269.5"
"78978000";"1016100";"3296";"269.9"
"79192000";"1016100";"3296";"270.7"
"79602000";"1016100";"3296";"272.2"
"79879000";"1016100";"3296";"272.9"
"80092000";"1016100";"3296";"273.7"
"80305000";"1016100";"3296";"274.4"
"80517000";"1016100";"3296";"275.2"
"80927000";"1016100";"3296";"276.7"
"81206000";"1016100";"3296";"277.4"
"81419000";"1016100";"3296";"278.2"
"81632000";"1016100";"3296";"278.9"
"81844000";"1016100";"3296";"279.7"
"82255000";"1016100";"3296";"281.2"
"82532000";"1016100";"3296";"282.0"
"82745000";"1016100";"3296";"282.7"
"82958000";"1016100";"3296";"283.5"
"83170000";"1016100";"3296";"284.2"
"83580000";"1016100";"3296";"285.3"
"83859000";"1016100";"3296";"286.5"
"84072000";"1016100";"3296";"287.2"
"84285000";"1016100";"3296";"288.0"
"84497000";"1016100";"3297";"288.3"
"84907000";"1016100";"3296";"289.9"
"85185000";"1016100";"3297";"291.0"
"85397000";"1016100";"3297";"291.4"
"85610000";"1016100";"3297";"292.1"
"85823000";"1016100";"3297";"292.9"
"86233000";"1016100";"3297";"294.4"
"86512000";"1016100";"3297";"295.5"
"86724000";"1016100";"3297";"295.9"
"86936000";"1016100";"3297";"296.6"
"87149000";"1016100";"3297";"297.4"
"87559000";"1019100";"3297";"298.9"
"87837000";"1019100";"3297";"299.6"
"88056000";"1019100";"3297";"300.4"
"88269000";"1019100";"3297";"301.2"
"88482000";"1019100";"3297";"301.9"
"88891000";"1019100";"3296";"303.4"
"89169000";"1019100";"3296";"304.2"
"89382000";"1019100";"3296";"304.9"
"89594000";"1019100";"3296";"305.7"
"89807000";"1019100";"3296";"306.4"
"90218000";"1019100";"3296";"307.9"
"90495000";"1019100";"3296";"308.7"
"90708000";"1019100";"3296";"309.4"
"90921000";"1019100";"3296";"310.2"
"91133000";"1019100";"3296";"310.9"
"91542000";"1019100";"3296";"312.1"
"91821000";"1019100";"3296";"313.2"
"92033000";"1019100";"3296";"314.0"
"92245000";"1019100";"3296";"314.7"
"92458000";"1019100";"3296";"315.5"
"92867000";"1019100";"3296";"316.6"
