Time (ns);Current (nA);Voltage (mV);Energy (uJ);DSR
"95879000";"1628700";"3297";"553.8";""
"96714000";"1628700";"3297";"558.8";"0x2BF101AF8C000E30"
"97547000";"1628700";"3297";"563.3";""
"98380000";"1628700";"3297";"567.9";"0xBF0440684000E30"
"99462000";"1628700";"3296";"573.2";"0x2BF101AF8C000E30"
"100361000";"1628700";"3296";"578.1";""
"101195000";"1628700";"3296";"582.6";""
"102027000";"1628700";"3296";"587.2";"0x3F101B084000E30"
"102861000";"1628700";"3296";"592.1";"0x2BF101AF8C000E30"
"103943000";"1628700";"3296";"597.4";"0x23F101AE8C000E30"
"104848000";"1628700";"3296";"601.9";"0x3F0442284000E30"
"105682000";"1639400";"3296";"606.9";"0x2BF101AF8C000E30"
"106514000";"1639400";"3296";"611.4";""
"107348000";"1639400";"3296";"616.0";"0xBF0441284000E30"
"108431000";"1639400";"3296";"621.3";""
"109330000";"1639400";"3296";"626.2";"0x2BF101AF8C000E30"
"110162000";"1639400";"3296";"630.7";"0xBF101B084000E30"
"111001000";"1639400";"3296";"635.7";"0x3F100FC84000E30"
"111835000";"1639400";"3296";"640.6";"0x2BF101AF8C000E30"
"112918000";"1639400";"3296";"645.5";""
"113815000";"1639400";"3296";"650.0";"0x3F0442484000E30"
"114655000";"1639400";"3296";"655.0";"0x2BF101AF8C000E30"
"115488000";"1626900";"3296";"659.5";""
"116321000";"1626900";"3296";"664.1";"0x3F0442284000E30"
"117405000";"1626900";"3296";"669.7";"0xBF0440684000E30"
"118304000";"1626900";"3296";"674.7";"0x2BF101AF8C000E30"
"119138000";"1626900";"3296";"679.2";"0xBF0440A84000E30"
"119972000";"1626900";"3296";"684.1";"0x3F101A084000E30"
"120806000";"1626900";"3296";"689.1";"0x2BF101AF8C000E30"
"121888000";"1626900";"3296";"694.0";""
"122786000";"1626900";"3296";"698.9";"0x3F101B084000E30"
"123620000";"1626900";"3296";"703.5";"0x2BF101AF8C000E30"
"124453000";"1626900";"3296";"708.0";""
"125292000";"1650900";"3296";"712.9";"0x3F0442484000E30"
"126374000";"1650900";"3296";"718.2";"0xBF0441284000E30"
"127274000";"1650900";"3296";"723.2";"0x2BF101AF8C000E30"
"128107000";"1650900";"3296";"727.7";"0xBF0441284000E30"
"128940000";"1650900";"3296";"732.6";"0x3F101A884000E30"
"129774000";"1650900";"3296";"737.2";"0x2BF101AF8C000E30"
"130856000";"1650900";"3296";"742.5";""
"131754000";"1650900";"3296";"747.0";"0x3F100F884000E30"
"132587000";"1650900";"3296";"751.9";"0x2BF101AF8C000E30"
"133420000";"1650900";"3296";"756.5";""
"134253000";"1650900";"3296";"761.0";"0x3F0442484000E30"
"135341000";"1610300";"3296";"766.3";"0xBF0441A84000E30"
"136240000";"1610300";"3296";"771.3";"0x2BF101AF8C000E30"
"137073000";"1610300";"3296";"775.8";"0x3F0441C84000E30"
"137907000";"1610300";"3296";"780.7";"0x2BF101AF8C000E30"
"138741000";"1610300";"3296";"785.3";""
"139816000";"1610300";"3296";"790.6";""
"140722000";"1610300";"3296";"795.1";"0x3F101A084000E30"
"141556000";"1610300";"3296";"800.0";"0x2BF101AF8C000E30"
"142389000";"1610300";"3296";"804.6";"0x8AF101B084000E30"
"143521000";"1610300";"3296";"814.1";"0x3F0442284000E30"
"144605000";"1735700";"3296";"819.4";"0xBF0441284000E30"
"145510000";"1735700";"3296";"824.3";"0x2BF101AF8C000E30"
"146343000";"1735700";"3296";"829.2";"0xBF0441884000E30"
"147177000";"1735700";"3296";"833.8";"0x3F101AA84000E30"
"148011000";"1735700";"3296";"838.7";"0x2BF101AF8C000E30"
"149093000";"1735700";"3296";"843.6";""
"149992000";"1735700";"3296";"848.6";"0x3F100F884000E30"
"150824000";"1735700";"3296";"853.1";"0x2BF101AF8C000E30"
"151657000";"1735700";"3296";"857.6";""
"152490000";"1735700";"3296";"862.6";"0x3F0442484000E30"
"153579000";"1735700";"3296";"867.9";"0xBF0441A84000E30"
"154477000";"1639300";"3297";"872.8";"0x2BF101AF8C000E30"
"155315000";"1639300";"3297";"877.3";"0x3F0442284000E30"
"156149000";"1639300";"3297";"882.3";"0x2BF101AF8C000E30"
"156982000";"1639300";"3297";"886.8";""
"158064000";"1639300";"3297";"891.7";""
"158963000";"1639300";"3297";"896.7";"0x3F101A484000E30"
"159796000";"1639300";"3297";"901.6";"0x2BF101AF8C000E30"
"160628000";"1639300";"3297";"906.1";"0xBF101B084000E30"
"161462000";"1639300";"3297";"910.7";"0x3F100F484000E30"
"162545000";"1639300";"3297";"916.0";""
"163445000";"1639300";"3297";"921.3";"0x2BF101AF8C000E30"
"164278000";"1639600";"3297";"925.8";"0x3F0442284000E30"
"165118000";"1639600";"3297";"930.8";"0x2BF101AF8C000E30"
"165950000";"1639600";"3297";"935.3";""
"167033000";"1639600";"3297";"940.2";""
"167931000";"1639600";"3297";"945.1";"0x23F101AE8C000E30"
"168765000";"1639600";"3297";"949.7";"0x2BF101AF8C000E30"
"169598000";"1639600";"3297";"954.2";"0xBF0440684000E30"
"170432000";"1639600";"3297";"959.2";"0x3F100FC84000E30"
"171514000";"1639600";"3297";"964.5";""
"172413000";"1639600";"3297";"969.4";"0x2BF101AF8C000E30"
"173247000";"1639600";"3297";"973.9";"0x3F101B084000E30"
"174080000";"1639400";"3297";"978.9";"0x2BF101AF8C000E30"
"174920000";"1639400";"3297";"983.4";""
"176001000";"1639400";"3297";"988.3";""
"176900000";"1639400";"3297";"993.2";""
"177733000";"1639400";"3297";"997.8";""
"178566000";"1639400";"3297";"1002.3";"0xBF0440E84000E30"
"179400000";"1639400";"3297";"1007.3";"0x3F101A084000E30"
"180482000";"1639400";"3297";"1012.6";""
"181382000";"1639400";"3297";"1017.5";"0xBF101B084000E30"
"182216000";"1639400";"3297";"1022.4";"0x3F100F484000E30"
"183048000";"1639400";"3297";"1027.0";"0x2BF101AF8C000E30"
"183881000";"1627800";"3297";"1031.5";""
"184969000";"1627800";"3297";"1036.8";""
"185868000";"1627800";"3297";"1041.3";""
"186701000";"1627800";"3297";"1046.3";""
"187535000";"1627800";"3297";"1050.8";"0xBF0441A84000E30"
"188368000";"1627800";"3297";"1055.4";"0x3F101AA84000E30"
"189451000";"1627800";"3297";"1060.7";""
"190351000";"1627800";"3297";"1065.6";"0xBF0440684000E30"
"191185000";"1627800";"3297";"1070.5";"0x3F100FC84000E30"
"192018000";"1627800";"3297";"1075.1";"0x2BF101AF8C000E30"
"192852000";"1627800";"3297";"1079.6";""
"193926000";"1611000";"3297";"1084.9";""
"194843000";"1611000";"3297";"1089.4";""
"195675000";"1611000";"3298";"1094.4";""
"196509000";"1611000";"3298";"1098.9";"0x3F0442284000E30"
"197343000";"1611000";"3298";"1103.9";"0x2BF101AF8C000E30"
"198425000";"1611000";"3298";"1108.8";"0x3F101A084000E30"
"199323000";"1611000";"3298";"1113.7";"0xBF0441284000E30"
"200157000";"1611000";"3298";"1118.6";"0x3F101A484000E30"
"200991000";"1611000";"3298";"1123.5";"0x2BF101AF8C000E30"
"201824000";"1611000";"3298";"1128.1";"0xBF0440084000E30"
"202907000";"1611000";"3298";"1133.4";"0x2BF101AF8C000E30"
"203805000";"1638300";"3298";"1138.3";""
"204637000";"1638300";"3298";"1142.9";""
"205476000";"1638300";"3297";"1147.4";"0x3F0442484000E30"
"206309000";"1638300";"3298";"1152.3";"0x2BF101AF8C000E30"
"207391000";"1638300";"3297";"1157.3";"0x3F101AA84000E30"
"208291000";"1638300";"3297";"1162.2";""
"209126000";"1638300";"3297";"1167.1";"0x2BF101AF8C000E30"
"209958000";"1638300";"3297";"1171.6";""
"210792000";"1638300";"3297";"1176.2";"0xBF0440A84000E30"
"211868000";"1638300";"3297";"1181.5";"0x2BF101AF8C000E30"
"212773000";"1638300";"3297";"1186.4";""
"213606000";"1627800";"3297";"1191.0";"0x2BF101AE8C000E30"
"214440000";"1627800";"3297";"1195.5";"0x3F101B084000E30"
"215279000";"1627800";"3297";"1200.4";"0x2BF101AF8C000E30"
"216361000";"1627800";"3297";"1205.4";""
"217259000";"1627800";"3297";"1209.9";"0x3F0442284000E30"
"218093000";"1627800";"3297";"1214.8";"0x2BF101AF8C000E30"
"218926000";"1627800";"3297";"1219.4";""
"219760000";"1627800";"3297";"1224.3";"0xBF0441284000E30"
"220842000";"1627800";"3298";"1229.6";"0x8AF101B084000E30"
"222038000";"1627800";"3297";"1239.1";"0x2BF101AF8C000E30"
"222872000";"1722800";"3297";"1243.6";""
"223704000";"1722800";"3297";"1248.2";"0x3F0442284000E30"
"224538000";"1722800";"3297";"1253.1";"0x2BF101AF8C000E30"
"225626000";"1722800";"3297";"1258.4";"0x3F101A484000E30"
"226525000";"1722800";"3297";"1263.3";"0xBF0441884000E30"
"227359000";"1722800";"3297";"1267.9";"0x3F101AA84000E30"
"228192000";"1722800";"3297";"1272.8";"0x2BF101AF8C000E30"
"229025000";"1722800";"3297";"1277.4";"0xBF0440284000E30"
"230109000";"1722800";"3297";"1282.7";"0x2BF101AF8C000E30"
"231007000";"1722800";"3297";"1287.6";""
"231840000";"1722800";"3297";"1292.1";""
"232673000";"1639500";"3297";"1296.7";"0x3F0442484000E30"
"233507000";"1639500";"3298";"1301.6";"0x2BF101AF8C000E30"
"234590000";"1639500";"3298";"1306.5";""
"235494000";"1639500";"3298";"1311.1";"0x3F0442284000E30"
"236328000";"1639500";"3298";"1316.0";"0x2BF101AF8C000E30"
"237167000";"1639500";"3298";"1320.5";""
"238000000";"1639500";"3298";"1325.5";"0xBF0441284000E30"
"239083000";"1639500";"3298";"1330.8";""
"239983000";"1639500";"3298";"1335.7";"0x2BF101AF8C000E30"
"240815000";"1639500";"3298";"1340.2";"0xBF0440084000E30"
"241648000";"1639500";"3298";"1345.2";"0x3F100F884000E30"
"242482000";"1638200";"3298";"1349.7";"0x2BF101AF8C000E30"
"243566000";"1638200";"3298";"1355.0";""
"244463000";"1638200";"3298";"1359.5";"0x3F0442284000E30"
"245303000";"1638200";"3298";"1364.5";"0x2BF101AF8C000E30"
"246136000";"1638200";"3297";"1369.0";""
"246969000";"1638200";"3297";"1373.6";"0x3F0441C84000E30"
"248053000";"1638200";"3298";"1378.9";"0xBF0440284000E30"
"248953000";"1638200";"3298";"1384.2";"0x2BF101AF8C000E30"
"249786000";"1638200";"3298";"1388.7";"0xBF0440A84000E30"
"250620000";"1638200";"3298";"1393.3";"0x3F101A084000E30"
"251455000";"1638200";"3298";"1398.2";"0x2BF101AF8C000E30"
"252537000";"1620800";"3298";"1403.5";""
"253436000";"1620800";"3298";"1408.0";"0x3F101B084000E30"
"254271000";"1620800";"3298";"1413.0";"0x2BF101AF8C000E30"
"255108000";"1620800";"3298";"1417.5";""
"255941000";"1620800";"3298";"1422.0";"0x3F0442284000E30"
"257024000";"1620800";"3298";"1427.3";"0xBF0440E84000E30"
"257923000";"1620800";"3298";"1432.3";"0x2BF101AF8C000E30"
"258756000";"1620800";"3298";"1436.8";"0xBF0441284000E30"
"259590000";"1620800";"3298";"1441.7";"0x3F101A484000E30"
"260423000";"1620800";"3297";"1446.7";"0x2BF101AF8C000E30"
"261506000";"1620800";"3297";"1451.6";""
"262405000";"1628500";"3297";"1456.5";"0x3F100F484000E30"
"263238000";"1628500";"3298";"1461.1";"0x2BF101AF8C000E30"
"264072000";"1628500";"3298";"1466.0";""
"264911000";"1628500";"3298";"1470.5";"0x3F0442484000E30"
"265987000";"1628500";"3298";"1475.8";"0xBF0441884000E30"
"266893000";"1628500";"3298";"1480.8";"0x2BF101AF8C000E30"
"267727000";"1628500";"3298";"1485.3";"0xBF0441A84000E30"
"268560000";"1628500";"3298";"1490.2";"0x3F101AA84000E30"
"269394000";"1628500";"3298";"1494.8";"0x2BF101AF8C000E30"
"270477000";"1628500";"3298";"1500.1";""
"271376000";"1628500";"3298";"1504.6";""
"272726000";"1960400";"3298";"1523.3";""
"273558000";"1960400";"3298";"1527.8";"0x3F0442484000E30"
"274392000";"1960400";"3298";"1532.8";"0x2BF101AF8C000E30"
"275480000";"1960400";"3298";"1537.7";""
"276378000";"1960400";"3298";"1542.6";"0x3F0442284000E30"
"277211000";"1960400";"3298";"1547.5";"0x2BF101AF8C000E30"
"278043000";"1960400";"3298";"1552.1";""
"278882000";"1960400";"3298";"1556.6";"0xBF0441284000E30"
"279965000";"1960400";"3298";"1561.9";""
"280863000";"1960400";"3297";"1566.8";"0x2BF101AF8C000E30"
"281696000";"1960400";"3297";"1571.4";"0xBF0440284000E30"
"282530000";"1639000";"3297";"1576.3";"0x3F100F884000E30"
"283364000";"1639000";"3297";"1581.2";"0x2BF101AF8C000E30"
"284447000";"1639000";"3297";"1586.2";""
"285350000";"1639000";"3297";"1591.1";"0x3F101B084000E30"
"286184000";"1639000";"3297";"1595.6";"0x2BF101AF8C000E30"
"287016000";"1639000";"3297";"1600.2";""
"287850000";"1639000";"3297";"1605.1";"0x3F0441C84000E30"
"288934000";"1639000";"3297";"1610.4";"0xBF0440684000E30"
"289833000";"1639000";"3297";"1615.3";"0x2BF101AF8C000E30"
"290665000";"1639000";"3297";"1619.9";"0xBF0440A84000E30"
"291499000";"1639000";"3297";"1624.4";"0x3F101A084000E30"
"292333000";"1639400";"3297";"1629.3";"0x2BF101AF8C000E30"
"293416000";"1639400";"3297";"1634.6";""
"294315000";"1639400";"3297";"1639.2";"0x3F101B084000E30"
"295154000";"1639400";"3297";"1644.1";"0x2BF101AF8C000E30"
"295987000";"1639400";"3297";"1648.7";""
"296820000";"1639400";"3297";"1653.2";"0x3F0442284000E30"
"297903000";"1639400";"3297";"1658.5";"0xBF0440E84000E30"
"298802000";"1639400";"3297";"1663.4";"0x2BF101AF8C000E30"
"299635000";"1639400";"3297";"1668.0";"0xBF0441284000E30"
"300468000";"1639400";"3297";"1672.9";"0x3F101A884000E30"
"301302000";"1639400";"3297";"1677.8";"0x2BF101AF8C000E30"
"302385000";"1609700";"3297";"1682.7";"0xBF0440284000E30"
"303284000";"1609700";"3297";"1687.7";"0x3F100F884000E30"
"304119000";"1609700";"3297";"1692.6";"0x2BF101AF8C000E30"
"304957000";"1609700";"3297";"1697.1";"0x2BF101AE8C000E30"
"305791000";"1609700";"3297";"1701.7";"0x3F101B084000E30"
"306874000";"1609700";"3297";"1707.4";""
"307773000";"1609700";"3298";"1712.3";"0x2BF101AF8C000E30"
"308607000";"1609700";"3297";"1716.8";"0x3F0441C84000E30"
"309440000";"1609700";"3297";"1721.4";"0x2BF101AF8C000E30"
"310273000";"1609700";"3297";"1725.9";""
"311356000";"1609700";"3297";"1731.2";"0xBF0440A84000E30"
"312255000";"1639800";"3297";"1736.1";"0x3F101A084000E30"
"313088000";"1639800";"3297";"1741.1";"0x2BF101AF8C000E30"
"313921000";"1639800";"3297";"1745.6";""
"314759000";"1639800";"3297";"1750.2";"0x3F1010084000E30"
"315842000";"1639800";"3297";"1755.5";"0x2BF101AF8C000E30"
"316742000";"1639800";"3297";"1760.0";""
"317575000";"1639800";"3297";"1764.9";"0x3F0442284000E30"
"318409000";"1639800";"3298";"1769.5";"0x2BF101AF8C000E30"
"319243000";"1639800";"3298";"1774.4";""
"320326000";"1639800";"3298";"1779.3";""
"321229000";"1639800";"3298";"1784.2";"0x3F101AA84000E30"
"322063000";"1626700";"3298";"1788.8";"0x2BF101AF8C000E30"
"322896000";"1626700";"3298";"1793.3";"0xBF0440684000E30"
"323730000";"1626700";"3298";"1798.3";"0x3F100FC84000E30"
"324818000";"1626700";"3298";"1803.6";"0x2BF101AF8C000E30"
"325718000";"1626700";"3298";"1808.5";"0xBF101B084000E30"
"326552000";"1626700";"3298";"1813.0";"0x3F100F484000E30"
"327385000";"1626700";"3298";"1818.0";"0x2BF101AF8C000E30"
"328217000";"1626700";"3298";"1822.5";""
"329300000";"1626700";"3298";"1827.4";"0x3F0442284000E30"
"330200000";"1626700";"3298";"1832.7";"0x2BF101AF8C000E30"
"331032000";"1626700";"3298";"1837.3";""
"331865000";"1639300";"3298";"1841.8";"0xBF0440E84000E30"
"332699000";"1639300";"3298";"1846.4";"0x3F101A484000E30"
"333782000";"1639300";"3297";"1851.7";"0x2BF101AF8C000E30"
"334686000";"1639300";"3297";"1856.6";"0xBF0440284000E30"
"335519000";"1639300";"3297";"1861.1";"0x3F100FC84000E30"
