Time (ns);Current (nA);Voltage (mV);Energy (uJ);DSR
"168104000";"2225400";"3296";"1253.2";""
"169238000";"2206500";"3296";"1262.3";""
"170312000";"2206500";"3296";"1267.6";""
"171511000";"2206500";"3296";"1276.3";""
"172645000";"2206500";"3296";"1285.4";""
"173778000";"2206500";"3296";"1294.1";""
"174912000";"2206500";"3296";"1303.2";""
"175991000";"2206500";"3296";"1308.5";""
"177190000";"2106000";"3296";"1317.5";""
"178323000";"2106000";"3296";"1326.3";""
"179461000";"2106000";"3296";"1335.4";""
"180594000";"2106000";"3296";"1344.1";""
"181669000";"2106000";"3296";"1349.3";""
"182867000";"2106000";"3296";"1358.4";""
"184000000";"2207100";"3296";"1367.1";""
"185133000";"2207100";"3296";"1376.2";""
"186271000";"2207100";"3296";"1385.0";""
"187345000";"2207100";"3297";"1390.2";""
"188544000";"2207100";"3297";"1398.9";""
"189677000";"2207100";"3296";"1408.0";""
"190810000";"2207100";"3296";"1416.8";""
"191944000";"2207100";"3296";"1425.8";""
"193018000";"2207100";"3296";"1431.1";""
"194217000";"2207100";"3296";"1439.8";""
"195356000";"2207100";"3296";"1448.9";""
"196489000";"2207100";"3296";"1458.0";""
"197623000";"2223300";"3296";"1466.7";""
"198698000";"2223300";"3296";"1472.0";""
"199897000";"2223300";"3296";"1481.1";""
"201029000";"2223300";"3296";"1489.8";""
"202163000";"2223300";"3296";"1498.9";""
"203297000";"2223300";"3296";"1507.6";""
"204371000";"2223300";"3296";"1512.9";""
"205575000";"2106000";"3296";"1522.0";""
"206709000";"2106000";"3296";"1530.7";""
"207843000";"2106000";"3296";"1539.8";""
"208976000";"2106000";"3297";"1548.5";""
"210049000";"2106000";"3297";"1553.8";""
"211247000";"2106000";"3297";"1562.5";""
"212380000";"2209000";"3297";"1571.6";""
"213514000";"2209000";"3297";"1580.7";""
"214648000";"2209000";"3297";"1589.4";""
"215728000";"2209000";"3297";"1594.7";""
"216926000";"2209000";"3297";"1603.8";""
"218060000";"2209000";"3297";"1612.9";""
"219193000";"2223100";"3297";"1621.6";""
"220326000";"2223100";"3297";"1630.7";""
"221404000";"2223100";"3297";"1635.6";""
"222603000";"2223100";"3297";"1644.7";""
"223737000";"2223100";"3297";"1653.4";""
"224869000";"2223100";"3297";"1662.5";""
"226008000";"2205700";"3297";"1671.2";""
"227082000";"2205700";"3297";"1676.5";""
"228281000";"2205700";"3297";"1685.6";""
"229415000";"2205700";"3297";"1694.3";""
"230548000";"2205700";"3297";"1703.4";""
"231681000";"2205700";"3297";"1712.1";""
"232755000";"2205700";"3297";"1717.4";""
"233953000";"2093200";"3297";"1726.1";""
"235088000";"2093200";"3297";"1735.2";""
"236227000";"2093200";"3297";"1744.3";""
"237361000";"2093200";"3297";"1753.0";""
"238434000";"2093200";"3297";"1758.3";""
"239633000";"2093200";"3297";"1767.3";""
"240766000";"2223300";"3297";"1776.1";""
"241899000";"2223300";"3297";"1785.2";""
"243033000";"2223300";"3296";"1793.9";""
"244108000";"2223300";"3296";"1799.1";""
"245312000";"2223300";"3297";"1808.2";""
"246445000";"2223300";"3296";"1816.9";""
"247578000";"2223700";"3297";"1826.0";""
"248711000";"2223700";"3296";"1834.8";""
"249786000";"2223700";"3296";"1840.0";""
"250984000";"2223700";"3297";"1849.1";""
"252117000";"2223700";"3297";"1857.8";""
"253250000";"2223700";"3296";"1866.9";""
"254384000";"2208600";"3296";"1875.6";""
"255465000";"2208600";"3296";"1880.9";""
"256663000";"2208600";"3296";"1890.0";""
"257797000";"2208600";"3296";"1899.1";""
"258930000";"2208600";"3296";"1907.8";""
"260064000";"2208600";"3296";"1916.9";""
"261137000";"2208600";"3296";"1922.2";""
"262359000";"2099900";"3296";"1930.9";""
"263492000";"2099900";"3296";"1940.0";""
"264625000";"2099900";"3296";"1948.7";""
"265765000";"2099900";"3296";"1957.8";""
"266839000";"2099900";"3296";"1963.1";""
"268037000";"2099900";"3296";"1971.8";""
"269171000";"2223300";"3296";"1980.9";""
"270305000";"2223300";"3296";"1989.6";""
"271438000";"2223300";"3296";"1998.7";""
"272512000";"2223300";"3296";"2004.0";""
"273710000";"2223300";"3296";"2012.7";""
"274845000";"2223300";"3296";"2021.8";""
"275984000";"2223300";"3296";"2030.9";""
"277117000";"2223300";"3295";"2039.6";""
"278192000";"2223300";"3295";"2044.9";""
"279390000";"2223300";"3295";"2054.0";""
"280524000";"2223300";"3296";"2063.1";""
"281658000";"2223300";"3296";"2071.8";""
"282791000";"2225200";"3296";"2080.9";""
"283865000";"2225200";"3296";"2085.8";""
"285064000";"2225200";"3296";"2094.9";""
"286203000";"2225200";"3295";"2103.6";""
"287336000";"2225200";"3295";"2112.7";""
"288469000";"2225200";"3295";"2121.4";""
"289543000";"2225200";"3295";"2126.7";""
"290742000";"2091800";"3295";"2135.7";""
"291875000";"2091800";"3295";"2144.5";""
"293009000";"2091800";"3295";"2153.5";""
"294142000";"2091800";"3295";"2162.6";""
"295216000";"2091800";"3295";"2167.5";""
"296421000";"2091800";"3295";"2176.6";""
"297554000";"2223500";"3295";"2185.7";""
"298688000";"2223500";"3295";"2194.8";""
"299820000";"2223500";"3295";"2203.5";""
"300894000";"2223500";"3295";"2208.8";""
"302092000";"2223500";"3295";"2217.9";""
"303226000";"2223500";"3295";"2226.6";""
"304364000";"2224300";"3295";"2235.7";""
"305502000";"2224300";"3295";"2244.4";""
"306577000";"2224300";"3295";"2249.7";""
"307776000";"2224300";"3295";"2258.8";""
"308908000";"2224300";"3295";"2267.5";""
"310042000";"2224300";"3295";"2276.6";""
"311175000";"2206700";"3295";"2285.3";""
"312250000";"2206700";"3295";"2290.6";""
"313449000";"2206700";"3295";"2299.7";""
"314583000";"2206700";"3295";"2308.4";""
"315722000";"2206700";"3295";"2317.5";""
"316856000";"2206700";"3295";"2326.6";""
"317929000";"2206700";"3295";"2331.9";""
"319127000";"2106000";"3295";"2340.6";""
"320261000";"2106000";"3295";"2349.7";""
"321395000";"2106000";"3295";"2358.4";""
"322529000";"2106000";"3295";"2367.5";""
"323603000";"2106000";"3295";"2372.4";""
"324802000";"2106000";"3295";"2381.5";""
"325941000";"2222800";"3295";"2390.6";""
"327075000";"2222800";"3295";"2399.3";""
